name,geoid,state_name,county_name,land_area (sqmtrs),population,population_density_sq_mi,median_household_income,hhs_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Bertsch-Oceanview CDP,16000US0606150,California,Del Norte,"13,727,497","1,988",375.1,"$41,471",858,203,280,157,90,122,0,6,"1,988","1,053",0,385,137,0,0,50,363,"1,988",76,126,55,115,95,180,124,166,152,101,79,29,153,171,192,174,51.1,"1,412",22.30%,33.10%,37.00%,4.40%,3.10%,476,16.40%,781,20.50%,987,"$165,500",858,
Bethel Island CDP,16000US0606210,California,Contra Costa,"13,602,211","2,161",411.5,"$33,583",906,353,260,29,66,56,113,29,"2,161","1,436",50,0,27,0,0,21,627,"2,161",60,54,193,113,58,165,170,171,126,123,170,169,110,209,54,216,45.5,"1,596",26.20%,22.60%,40.20%,9.60%,1.40%,532,19.50%,812,4.90%,"1,417","$168,900",906,
Beverly Hills city,16000US0606308,California,Los Angeles,"14,783,634","34,186","5,989.10","$106,936","14,769","2,443","1,352","1,602","1,544","2,233","1,715","3,880","34,186","26,601",665,62,"3,097",0,142,"1,602","2,017","34,186","1,200","1,870","2,004","2,278","2,684","2,683","2,019","3,103","1,811","2,472","1,585","2,055","1,953","2,144","1,969","2,356",44.8,"25,207",3.90%,11.70%,21.20%,34.40%,28.70%,"8,495",6.90%,"17,219",6.00%,"17,559","$2,000,001","14,769",
Bieber CDP,16000US0606336,California,Lassen,"4,239,787",156,95.3,"$42,692",80,11,41,13,8,0,0,7,156,156,0,0,0,0,0,0,0,156,9,0,0,16,0,27,4,21,11,15,12,7,0,23,3,8,51.6,109,2.80%,32.10%,65.10%,0.00%,0.00%,38,0.00%,72,0.00%,129,-$1,80,
Big Bear City CDP,16000US0606406,California,San Bernardino,"82,744,432","13,463",421.4,"$51,875","5,375","1,213","1,413",902,766,661,307,113,"13,463","9,279",161,54,75,0,0,292,"3,602","13,463",791,832,854,689,648,994,"1,078",870,"1,076",801,653,674,828,886,872,917,42.2,"9,166",10.10%,29.90%,42.30%,12.60%,5.10%,"3,559",13.90%,"5,845",6.00%,"12,950","$257,200","5,375",
Big Bear Lake city,16000US0606434,California,San Bernardino,"16,162,534","5,241",839.9,"$51,060","2,237",553,532,359,294,296,73,130,"5,241","3,433",11,54,136,8,0,25,"1,574","5,241",299,303,330,267,278,335,402,416,246,297,324,256,397,322,407,362,43.7,"3,905",10.80%,22.30%,38.60%,17.00%,11.30%,"1,375",12.80%,"2,359",3.00%,"9,864","$391,000","2,237",
Big Bend CDP,16000US0606475,California,Shasta,"14,852,515",132,23,"$22,500",48,26,11,5,0,3,3,0,132,91,3,24,0,0,0,8,6,132,9,4,7,5,5,7,7,6,8,8,16,8,2,14,18,8,44,87,14.90%,27.60%,42.50%,10.30%,4.60%,26,30.80%,20,40.00%,90,"$120,800",48,
Big Creek CDP,16000US0606518,California,Fresno,"1,191,495",198,430.4,"$90,750",57,0,6,17,15,19,0,0,198,178,0,0,4,0,0,0,16,198,28,25,5,17,10,5,10,5,23,17,7,20,3,6,16,1,23.9,98,0.00%,28.60%,33.70%,33.70%,4.10%,46,0.00%,87,23.00%,104,"$320,000",57,
Big Lagoon CDP,16000US0606567,California,Humboldt,"1,552,064",100,166.9,"$64,167",46,15,4,7,10,8,0,2,100,87,0,0,0,0,0,0,13,100,6,0,0,5,2,7,20,13,0,3,0,11,2,6,16,9,62.7,91,0.00%,15.40%,23.10%,15.40%,46.20%,28,0.00%,22,13.60%,122,"$506,600",46,
Big Pine CDP,16000US0606616,California,Inyo,"7,652,701","1,524",515.8,"$53,891",699,110,197,159,98,100,23,12,"1,524",837,14,337,19,1,9,86,221,"1,524",121,36,34,105,107,154,124,163,87,97,58,64,60,94,124,96,48.6,"1,145",7.90%,31.90%,40.50%,12.30%,7.30%,340,4.10%,690,3.20%,838,"$232,200",699,
Big River CDP,16000US0606635,California,San Bernardino,"28,050,914","1,149",106.1,"$33,534",526,193,203,65,23,37,5,0,"1,149",914,7,28,5,0,0,24,171,"1,149",22,52,45,41,37,114,117,130,96,40,42,34,34,89,139,117,56.5,909,17.90%,35.20%,35.60%,10.00%,1.20%,297,8.10%,405,12.30%,"1,069","$91,400",526,
Biggs city,16000US0606560,California,Butte,"2,317,099","2,175","2,431.20","$54,188",637,99,193,175,69,63,24,14,"2,175",846,0,23,53,0,0,127,"1,126","2,175",134,103,137,122,154,134,92,113,237,181,251,103,83,145,101,85,32.1,"1,353",25.90%,32.60%,35.10%,4.30%,2.10%,537,17.10%,863,3.70%,667,"$211,400",637,
Biola CDP,16000US0606728,California,Fresno,"1,375,078","1,705","3,211.40",-$1,378,159,35,94,47,24,19,0,"1,705",15,52,0,191,0,0,0,"1,447","1,705",203,210,220,107,146,33,26,16,78,215,164,59,151,48,5,24,24.3,827,42.90%,25.00%,19.70%,10.60%,1.70%,349,40.70%,858,22.80%,378,"$156,200",378,
Bishop city,16000US0606798,California,Inyo,"4,827,233","3,745","2,009.30","$62,067","1,993",319,566,510,284,204,57,53,"3,745","2,487",41,0,199,0,0,131,887,"3,745",281,106,157,246,321,319,283,347,260,106,110,197,199,330,221,262,46.3,"2,916",7.20%,27.90%,26.40%,20.10%,18.30%,738,3.40%,"1,880",3.80%,"2,187","$319,000","1,993",
Black Point-Green Point CDP,16000US0606982,California,Marin,"7,322,458","1,622",573.7,"$132,438",617,54,38,37,98,104,41,245,"1,622","1,302",0,0,151,0,0,52,117,"1,622",33,63,81,22,80,165,209,113,33,73,95,23,81,160,232,159,56.1,"1,290",3.30%,16.40%,24.00%,35.80%,20.40%,419,1.90%,933,5.60%,627,"$991,300",617,
Blackhawk CDP,16000US0606928,California,Contra Costa,"15,011,149","9,604","1,657.10","$214,754","3,458",138,133,167,323,461,384,"1,852","9,604","6,270",161,0,"2,059",33,36,378,667,"9,604",313,772,381,312,777,955,784,654,381,774,289,207,543,"1,069",743,650,50.2,"7,050",1.00%,9.00%,19.80%,40.90%,29.20%,"3,116",2.70%,"5,068",4.40%,"3,533","$1,350,600","3,458",
Blacklake CDP,16000US0606935,California,San Luis Obispo,"2,707,676",850,813.1,"$83,203",445,20,123,75,16,127,17,67,850,816,0,0,0,0,0,34,0,850,0,22,0,0,54,51,111,201,0,23,56,21,38,11,140,122,68.1,805,0.00%,9.40%,35.90%,28.10%,26.60%,268,0.00%,181,0.00%,639,"$788,700",445,
Blairsden CDP,16000US0606994,California,Plumas,"1,402,709",18,33.2,-$1,9,0,0,9,0,0,0,0,18,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,-1,18,0.00%,50.00%,50.00%,0.00%,0.00%,9,0.00%,0,0.00%,28,-$1,9,
Bloomfield CDP,16000US0607036,California,Sonoma,"21,073,593",292,35.9,"$97,727",88,10,0,11,33,11,9,14,292,241,0,0,0,0,0,28,23,292,0,0,31,14,14,31,22,10,0,10,67,0,27,45,21,0,47.8,250,0.00%,8.80%,12.80%,43.20%,35.20%,67,0.00%,189,7.40%,115,"$828,100",88,
Bloomington CDP,16000US0607064,California,San Bernardino,"15,726,094","21,847","3,598.10","$52,085","5,747","1,267","1,428","1,048",758,940,200,106,"21,847","2,978",295,31,212,2,0,98,"18,231","21,847","1,194","1,845","1,459","1,891","1,255","1,075",879,"1,012","1,622","1,981","1,650","1,642","1,549","1,310",753,730,32.8,"13,564",42.30%,24.40%,23.60%,7.20%,2.50%,"4,827",16.20%,"10,017",5.60%,"6,352","$270,000","5,747",
Blue Lake city,16000US0607162,California,Humboldt,"1,535,452",902,"1,521.50","$53,929",428,86,98,113,60,39,31,1,902,678,0,58,14,0,0,101,51,902,40,14,76,52,26,59,126,79,40,13,62,115,11,28,93,68,50.5,773,2.30%,23.30%,37.80%,21.10%,15.50%,239,8.40%,530,4.50%,507,"$310,000",428,
Bluewater CDP,16000US0607172,California,San Bernardino,"2,711,814",163,155.7,"$31,000",84,29,21,22,6,0,0,6,163,129,0,12,0,0,0,0,22,163,7,0,7,0,0,6,28,23,20,0,0,6,8,0,21,37,67.1,136,11.80%,39.70%,39.70%,8.80%,0.00%,35,17.10%,39,12.80%,515,"$27,500",84,
Blythe city,16000US0607218,California,Riverside,"68,908,179","19,643",738.3,"$45,385","4,922","1,694",998,719,556,602,249,104,"19,643","5,091","2,093",79,454,61,42,587,"11,236","19,643","1,127",820,855,923,666,731,764,643,"1,381","1,160","2,503","2,496","2,520","1,387","1,020",647,35.2,"13,583",28.40%,28.40%,35.40%,5.10%,2.60%,"3,145",21.40%,"5,667",8.30%,"6,258","$150,000","4,922",
Bodega Bay CDP,16000US0607260,California,Sonoma,"21,612,539",665,79.7,"$86,319",406,72,22,90,45,39,46,92,665,612,0,0,0,0,0,0,53,665,0,8,31,0,0,57,162,67,0,22,61,0,11,20,98,128,66.8,556,2.70%,4.90%,24.10%,31.30%,37.10%,161,0.00%,403,4.70%,812,"$757,400",406,
