name,geoid,state_name,county_name,land_area (sqmtrs),population,population_density_sq_mi,median_household_income,hhs_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Mount Hebron CDP,16000US0649768,California,Siskiyou,"1,847,451",72,100.9,-$1,30,0,15,15,0,0,0,0,72,15,0,0,0,0,0,0,57,72,13,0,0,0,16,0,0,0,0,13,0,0,15,0,0,15,42.6,46,32.60%,34.80%,32.60%,0.00%,0.00%,15,0.00%,31,0.00%,38,-$1,30,
Mount Hermon CDP,16000US0649796,California,Santa Cruz,"1,683,558","1,259","1,936.80","$90,208",354,45,23,64,56,98,37,31,"1,259",850,0,0,0,0,0,47,362,"1,259",105,20,90,122,87,59,34,60,176,120,60,62,78,103,34,49,33.7,770,9.00%,10.30%,20.80%,37.00%,23.00%,276,4.00%,689,13.60%,430,"$676,200",354,
Mount Laguna CDP,16000US0649810,California,San Diego,"4,395,262",117,68.9,-$1,24,0,0,0,24,0,0,0,117,117,0,0,0,0,0,0,0,117,0,0,30,0,0,0,24,0,0,0,39,0,0,0,24,0,27.7,87,0.00%,0.00%,0.00%,100.00%,0.00%,24,0.00%,24,0.00%,172,-$1,24,
Mount Shasta city,16000US0649852,California,Siskiyou,"9,754,373","3,275",869.6,"$35,547","1,823",654,470,257,227,159,0,56,"3,275","2,825",50,0,0,0,0,34,366,"3,275",139,0,161,184,142,342,428,298,280,27,216,144,21,162,376,355,57.5,"2,617",7.60%,11.40%,47.00%,19.10%,14.70%,882,22.00%,"1,502",3.00%,"2,144","$246,300","1,823",
Mountain Center CDP,16000US0649544,California,Riverside,"4,880,669",0,0,-$1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0,0.00%,35,-$1,0,
Mountain Gate CDP,16000US0649558,California,Shasta,"5,115,620",952,482,"$30,060",400,139,149,25,0,60,11,16,952,927,0,0,7,0,0,0,18,952,14,38,88,21,70,64,71,74,102,53,18,77,38,72,90,62,47.1,676,7.50%,41.00%,40.40%,9.80%,1.30%,243,18.10%,310,18.70%,430,"$119,800",400,
Mountain House CDP,16000US0649582,California,San Joaquin,"8,269,148","17,966","5,627.10","$140,801","4,732",174,170,375,439,"1,402","1,082","1,090","17,966","4,489","1,729",0,"7,602",96,0,"1,396","2,654","17,966","1,989","1,731",793,"1,630","1,676",582,687,317,"1,909","1,569",529,"1,293","1,587",847,636,191,33.1,"9,875",5.90%,12.40%,34.40%,27.40%,19.90%,"4,267",4.30%,"7,849",5.30%,"4,846","$595,700","4,732",
Mountain Mesa CDP,16000US0649600,California,Kern,"2,246,361","1,396","1,609.50","$38,175",440,28,277,15,34,86,0,0,"1,396","1,258",5,27,4,0,0,0,102,"1,396",86,77,96,52,2,102,131,157,266,25,97,53,0,0,44,208,34.8,936,17.90%,23.80%,38.80%,15.40%,4.10%,334,15.00%,184,13.60%,440,"$177,200",440,
Mountain Ranch CDP,16000US0649628,California,Calaveras,"106,677,227","1,141",27.7,"$50,350",557,66,209,156,59,38,29,0,"1,141",917,0,35,0,0,0,13,176,"1,141",26,0,36,0,14,162,160,116,0,46,30,6,73,116,223,133,60.7,"1,033",1.50%,35.90%,39.20%,21.00%,2.30%,312,2.60%,429,11.20%,871,"$286,200",557,
Mountain View Acres CDP,16000US0649684,California,San Bernardino,"4,114,534","4,447","2,799.30","$44,836","1,124",269,297,244,126,130,15,43,"4,447","1,050",357,2,81,0,0,62,"2,895","4,447",326,413,287,254,233,244,180,180,379,612,163,242,222,312,211,189,30.6,"2,577",29.20%,29.40%,29.30%,8.40%,3.70%,803,23.00%,"1,497",12.60%,"1,189","$224,000","1,124",
Mountain View CDP,16000US0649651,California,Contra Costa,"743,940","1,970","6,858.50","$72,222",770,58,95,234,98,87,143,55,"1,970","1,176",95,0,46,0,0,87,566,"1,970",228,49,78,300,18,244,10,75,98,181,82,311,88,160,31,17,33,"1,350",6.60%,15.90%,52.10%,22.40%,3.00%,475,4.00%,"1,265",8.10%,787,"$421,500",770,
Mountain View city,16000US0649670,California,Santa Clara,"31,055,404","81,656","6,810.00","$139,720","33,756","3,226","3,276","2,926","2,711","5,840","4,758","11,019","81,656","35,877","1,155",135,"25,896",224,318,"3,096","14,955","81,656","4,680","3,268","6,464","7,522","5,690","4,230","3,285","3,765","5,403","3,879","7,953","9,384","5,607","4,732","3,217","2,577",34.8,"59,633",7.10%,9.10%,14.30%,29.40%,40.10%,"19,102",3.20%,"49,302",3.30%,"36,298","$1,413,500","33,756",
Muir Beach CDP,16000US0649950,California,Marin,"1,276,408",336,681.8,"$156,250",162,22,0,0,0,49,64,27,336,296,0,0,4,0,0,11,25,336,7,0,0,12,32,26,34,23,65,0,0,10,38,40,21,28,53.3,264,0.00%,3.80%,24.20%,40.50%,31.40%,93,0.00%,175,5.70%,205,"$1,450,000",162,
Murphys CDP,16000US0650034,California,Calaveras,"26,732,332","2,188",212,"$48,246",988,194,347,148,112,85,31,71,"2,188","1,969",0,17,0,0,0,100,102,"2,188",0,31,90,97,55,120,261,511,90,85,46,48,135,149,177,293,62.1,"1,884",7.90%,24.10%,43.40%,16.70%,7.90%,551,4.40%,819,2.80%,"1,325","$302,300",988,
Murrieta city,16000US0650076,California,Riverside,"87,055,430","112,941","3,360.10","$90,535","32,175","3,171","4,826","5,125","4,831","7,019","3,831","3,372","112,941","54,283","6,175",430,"10,024",517,513,"5,655","35,344","112,941","8,346","10,213","7,532","7,501","8,165","7,052","4,543","5,623","7,753","9,240","7,956","6,096","7,541","7,181","4,145","4,054",34.2,"69,942",8.40%,23.70%,37.70%,20.50%,9.80%,"25,635",6.00%,"53,330",7.60%,"34,117","$414,100","32,175",
Muscoy CDP,16000US0650132,California,San Bernardino,"7,818,877","12,562","4,161.10","$46,969","2,711",745,694,552,260,298,145,17,"12,562",748,316,0,212,4,0,114,"11,168","12,562","1,074",897,"1,115",662,642,629,597,216,"1,427",997,995,"1,095",681,784,607,144,28.8,"7,053",44.10%,31.70%,17.90%,5.10%,1.10%,"2,337",24.10%,"5,014",17.30%,"2,800","$251,400","2,711",
Myers Flat CDP,16000US0650146,California,Humboldt,"1,119,279",132,305.4,-$1,35,0,35,0,0,0,0,0,132,132,0,0,0,0,0,0,0,132,0,0,0,0,0,0,82,0,0,0,0,0,0,0,50,0,63.5,132,35.60%,37.90%,26.50%,0.00%,0.00%,35,0.00%,35,0.00%,93,-$1,35,
Myrtletown CDP,16000US0650188,California,Humboldt,"5,436,583","5,222","2,487.80","$59,330","2,146",506,308,551,285,358,66,72,"5,222","4,166",2,134,115,0,0,199,606,"5,222",120,178,544,364,487,366,286,421,170,397,530,78,396,288,240,357,44.1,"4,016",9.80%,20.70%,46.90%,14.30%,8.30%,"1,157",10.50%,"2,935",7.00%,"2,450","$278,700","2,146",
Napa city,16000US0650258,California,Napa,"46,506,621","79,074","4,403.70","$84,043","28,189","3,164","4,737","4,450","4,117","5,418","3,130","3,173","79,074","41,628",466,157,"2,477",105,345,"1,861","32,035","79,074","4,242","5,056","5,021","5,543","5,086","5,213","4,802","5,086","4,930","5,453","4,876","5,722","5,146","4,916","4,373","3,609",38.8,"54,723",15.80%,18.30%,31.70%,22.80%,11.50%,"18,651",5.40%,"43,473",4.40%,"30,417","$616,700","28,189",
National City city,16000US0650398,California,San Diego,"18,887,346","61,121","8,381.40","$47,119","16,658","4,275","4,415","2,918","2,296","1,750",470,534,"61,121","7,066","2,667",112,"11,180",294,13,"1,002","38,787","61,121","3,445","4,105","4,549","4,172","3,520","3,806","3,062","3,583","3,122","4,134","6,858","4,717","3,431","3,792","2,570","2,255",34.2,"40,038",25.10%,28.20%,32.60%,10.70%,3.50%,"12,184",15.70%,"27,015",6.60%,"17,652","$402,000","16,658",
Needles city,16000US0650734,California,San Bernardino,"79,197,461","4,965",162.4,"$33,717","2,034",802,477,363,122,186,57,27,"4,965","3,306",145,406,24,0,0,137,947,"4,965",321,283,251,281,327,266,344,411,483,355,216,160,384,318,300,265,42.7,"3,392",15.00%,41.00%,31.50%,7.50%,5.00%,"1,320",19.50%,"1,675",9.80%,"2,872","$88,500","2,034",
Nevada City city,16000US0650874,California,Nevada,"5,661,517","3,144","1,438.30","$42,059","1,462",402,451,210,142,162,57,38,"3,144","2,608",48,3,32,0,0,262,191,"3,144",167,153,141,72,82,298,352,309,0,177,171,140,360,214,286,222,52.8,"2,447",7.80%,14.20%,42.70%,16.80%,18.50%,602,17.10%,"1,439",3.50%,"1,575","$417,600","1,462",
New Cuyama CDP,16000US0651028,California,Santa Barbara,"1,827,436",660,935.4,"$55,833",224,34,74,40,35,38,3,0,660,289,6,0,0,0,0,5,360,660,98,33,65,20,21,40,34,35,79,27,61,27,31,29,39,21,27.8,379,17.40%,32.20%,36.40%,6.10%,7.90%,140,5.70%,214,8.90%,234,"$128,600",224,
New Pine Creek CDP,16000US0651168,California,Modoc,"5,870,148",88,38.8,-$1,28,18,10,0,0,0,0,0,88,59,0,0,0,0,0,0,29,88,0,13,0,0,0,7,0,7,0,16,0,0,35,0,10,0,42.2,59,52.50%,35.60%,11.90%,0.00%,0.00%,21,52.40%,18,0.00%,86,"$134,100",28,
Newark city,16000US0650916,California,Alameda,"35,936,187","47,171","3,399.70","$116,856","14,047",958,"1,289","1,495","1,919","3,455","2,317","2,614","47,171","11,168","1,818",130,"15,586",416,81,"1,580","16,392","47,171","2,716","2,804","3,178","3,400","3,394","3,318","2,352","2,180","2,624","3,013","3,469","4,042","3,362","3,124","2,336","1,859",37.1,"33,257",10.30%,29.90%,26.20%,21.90%,11.70%,"11,409",2.90%,"26,243",4.10%,"14,562","$742,100","14,047",
Newcastle CDP,16000US0651000,California,Placer,"6,194,986","1,208",505,"$75,250",571,113,114,55,154,19,60,56,"1,208","1,023",4,8,14,0,0,95,64,"1,208",75,102,65,101,44,73,130,153,19,82,21,59,47,40,97,100,47.7,906,2.20%,22.20%,44.30%,20.90%,10.50%,325,4.30%,489,4.10%,641,"$327,000",571,
Newell CDP,16000US0651042,California,Modoc,"6,233,913",566,235.2,"$27,656",132,65,41,26,0,0,0,0,566,124,0,0,0,0,0,20,422,566,56,49,10,50,48,5,8,2,37,153,8,24,67,21,24,4,19.6,253,77.50%,13.40%,9.10%,0.00%,0.00%,109,38.50%,219,2.30%,269,"$55,000",132,
Newman city,16000US0651140,California,Stanislaus,"5,340,332","11,317","5,488.60","$62,877","3,299",385,876,658,470,641,119,150,"11,317","3,004",215,0,153,0,34,46,"7,865","11,317","1,225",978,594,967,690,582,406,614,732,834,565,"1,199",491,661,388,391,33.6,"6,924",22.80%,32.10%,34.00%,9.40%,1.80%,"2,767",6.60%,"4,961",13.50%,"3,389","$263,000","3,299",
Newport Beach city,16000US0651182,California,Orange,"61,681,449","85,694","3,598.30","$127,223","37,605","3,997","3,484","3,683","3,798","6,268","4,046","12,329","85,694","68,495",683,75,"6,749",125,212,"1,821","7,534","85,694","3,696","4,168","5,050","4,828","5,224","7,224","5,855","7,816","3,027","4,807","5,366","4,919","4,861","6,584","5,757","6,512",47.2,"65,512",2.20%,7.40%,23.40%,39.20%,27.80%,"21,718",4.80%,"45,177",3.10%,"44,586","$1,898,900","37,605",
Nicasio CDP,16000US0651280,California,Marin,"3,379,839",71,54.4,"$233,750",25,3,3,4,0,0,1,14,71,71,0,0,0,0,0,0,0,71,2,14,7,2,3,13,0,2,0,2,0,1,5,6,6,8,49.9,53,0.00%,7.50%,7.50%,54.70%,30.20%,18,16.70%,34,0.00%,34,"$2,000,001",25,
Nice CDP,16000US0651294,California,Lake,"4,466,600","2,527","1,465.30","$48,288","1,089",336,253,275,139,70,6,10,"2,527","1,972",101,0,4,0,85,90,275,"2,527",96,207,91,57,224,169,259,172,153,135,113,169,143,152,224,163,47,"1,846",6.30%,34.00%,49.80%,5.40%,4.50%,512,15.00%,972,2.40%,"1,697","$140,100","1,089",
Nicolaus CDP,16000US0651336,California,Sutter,"8,126,870",148,47.2,"$85,875",77,13,16,6,14,20,3,5,148,104,0,0,0,0,0,0,44,148,8,13,7,6,6,11,16,8,0,0,22,9,4,12,5,21,46.8,118,16.10%,21.20%,44.10%,9.30%,9.30%,30,6.70%,84,7.10%,77,"$525,000",77,
Niland CDP,16000US0651392,California,Imperial,"1,040,220",631,"1,571.10","$21,330",198,121,52,25,0,0,0,0,631,240,36,0,0,0,0,30,325,631,90,36,65,32,0,37,19,0,100,107,0,36,21,20,38,30,16.3,262,52.70%,26.30%,21.00%,0.00%,0.00%,143,52.40%,241,20.70%,315,"$82,900",198,
Nipinnawasee CDP,16000US0651470,California,Madera,"7,990,118",349,113.1,"$70,583",113,16,37,15,34,11,0,0,349,344,0,0,0,0,0,0,5,349,21,48,41,19,9,0,35,28,16,21,15,0,18,22,16,40,36.7,219,23.30%,47.00%,27.40%,2.30%,0.00%,109,15.60%,91,0.00%,131,"$181,900",113,
Nipomo CDP,16000US0651476,California,San Luis Obispo,"38,467,934","17,601","1,185.00","$82,543","5,561",578,788,"1,095",791,"1,205",590,514,"17,601","8,642",192,13,497,52,0,367,"7,838","17,601",690,"1,241","1,197","1,090","1,000","1,369","1,182",875,993,"1,373","1,176","1,108","1,169","1,127","1,039",972,39.6,"11,989",17.70%,20.80%,37.00%,16.10%,8.40%,"4,581",7.90%,"8,666",5.40%,"5,958","$537,700","5,561",
Norco city,16000US0651560,California,Riverside,"35,825,248","26,670","1,928.10","$102,817","7,119",740,871,973,855,"1,633","1,037","1,010","26,670","14,823","1,188",51,"1,154",39,21,606,"8,788","26,670","1,298","1,608","1,484","1,397","1,699","2,117","1,411","1,328","1,092","1,729","2,220","2,004","2,359","2,437","1,300","1,187",41.2,"19,159",13.30%,29.80%,36.90%,12.60%,7.40%,"5,420",4.10%,"12,362",3.70%,"7,472","$544,900","7,119",
Nord CDP,16000US0651574,California,Butte,"5,452,534",312,148.2,"$70,972",92,0,0,79,3,10,0,0,312,256,0,0,0,5,0,8,43,312,0,0,24,54,0,12,0,25,131,17,4,0,0,35,10,0,25.5,164,6.10%,42.10%,49.40%,2.40%,0.00%,92,0.00%,104,2.90%,92,-$1,92,
Norris Canyon CDP,16000US0651622,California,Contra Costa,"9,575,708",897,242.6,"$250,001",285,0,0,0,0,13,64,208,897,147,0,0,580,0,0,45,125,897,49,122,28,10,161,43,76,38,25,133,0,11,110,69,13,9,44,552,5.10%,0.00%,10.30%,33.90%,50.70%,215,0.00%,451,9.80%,295,"$2,000,001",285,
North Auburn CDP,16000US0651637,California,Placer,"20,171,679","14,269","1,832.10","$60,308","5,426","1,085","1,242",749,801,882,314,353,"14,269","10,796",66,49,392,9,15,553,"2,389","14,269",948,774,849,764,707,762,"1,036","1,550",734,819,688,"1,115",691,859,"1,076",897,41.8,"10,337",10.20%,26.50%,39.30%,16.40%,7.70%,"3,146",11.30%,"5,973",2.30%,"5,970","$356,200","5,426",
North Edwards CDP,16000US0651812,California,Kern,"33,012,003",880,69,"$35,417",420,127,102,93,43,39,0,16,880,549,50,0,37,0,0,24,220,880,27,28,32,10,80,42,135,37,9,76,81,19,89,62,102,51,48.6,681,11.50%,39.10%,40.10%,5.70%,3.70%,227,25.60%,429,16.80%,629,"$74,500",420,
North El Monte CDP,16000US0651820,California,Los Angeles,"1,096,396","3,933","9,290.80","$63,875","1,286",197,238,276,108,264,68,135,"3,933",988,42,4,"1,715",0,0,126,"1,058","3,933",204,318,137,198,287,278,298,249,266,222,333,254,304,202,190,193,40.7,"2,799",8.50%,22.80%,36.70%,21.70%,10.40%,903,9.50%,"1,823",2.50%,"1,348","$633,400","1,286",
North Fair Oaks CDP,16000US0651840,California,San Mateo,"3,103,254","14,372","11,994.90","$77,899","4,183",712,746,616,328,726,334,721,"14,372","2,542",174,9,821,0,51,225,"10,550","14,372","1,149","1,205","1,050","1,201",823,805,566,402,"1,194",989,854,"1,274",975,"1,000",590,295,33.1,"9,141",33.10%,20.80%,19.80%,14.10%,12.30%,"3,042",13.70%,"7,589",3.10%,"4,400","$941,600","4,183",
North Gate CDP,16000US0651890,California,Contra Costa,"1,703,716",685,"1,041.30","$231,053",242,16,0,32,12,38,15,129,685,428,0,0,77,0,0,22,158,685,27,0,33,17,41,100,6,49,101,19,52,0,40,125,21,54,50.3,488,3.70%,10.50%,11.50%,27.30%,47.10%,228,7.00%,319,16.60%,242,"$1,180,600",242,
North Highlands CDP,16000US0651924,California,Sacramento,"22,821,706","47,661","5,408.90","$45,488","15,335","3,752","4,602","2,768","1,882","1,609",467,255,"47,661","22,833","5,935",342,"3,198",64,0,"2,802","12,487","47,661","3,741","2,938","4,411","3,725","2,668","2,611","2,546","2,357","3,854","3,658","3,784","3,354","2,435","2,311","1,895","1,373",31.6,"29,405",15.70%,34.60%,36.20%,10.20%,3.30%,"10,891",21.50%,"21,489",5.10%,"15,998","$217,500","15,335",
North Lakeport CDP,16000US0651990,California,Lake,"9,971,800","3,351",870.4,"$45,785","1,429",293,500,260,115,146,24,91,"3,351","2,545",0,165,23,0,0,98,520,"3,351",254,172,194,147,163,155,310,414,96,221,109,136,125,250,165,440,51.5,"2,485",9.40%,34.60%,34.00%,12.80%,9.10%,908,15.60%,"1,346",2.20%,"1,701","$237,600","1,429",
North Richmond CDP,16000US0652162,California,Contra Costa,"3,598,945","4,085","2,939.80","$56,771","1,109",238,233,215,99,243,58,23,"4,085",115,866,0,367,0,0,87,"2,650","4,085",263,345,237,333,291,290,123,136,384,410,231,307,278,226,119,112,33.1,"2,483",40.70%,30.10%,22.80%,5.10%,1.40%,862,20.10%,"2,017",4.70%,"1,255","$363,700","1,109",
North San Juan CDP,16000US0652246,California,Nevada,"6,274,772",178,73.5,-$1,108,42,15,20,31,0,0,0,178,170,0,0,0,0,0,0,8,178,0,24,0,14,0,27,11,46,0,0,0,28,0,8,5,15,54.3,154,3.90%,51.30%,11.70%,22.10%,11.00%,31,0.00%,17,0.00%,123,"$270,600",108,
North Shore CDP,16000US0652302,California,Riverside,"28,952,350","2,756",246.5,"$22,000",944,511,286,127,8,12,0,0,"2,756",67,0,0,0,0,0,16,"2,673","2,756",129,232,181,125,299,268,90,34,88,177,323,137,163,266,210,34,38.3,"1,988",62.80%,31.50%,3.50%,2.20%,0.00%,617,34.50%,"1,503",15.70%,944,"$133,600",944,
North Tustin CDP,16000US0652379,California,Orange,"17,123,204","24,705","3,736.80","$156,176","8,435",508,630,765,746,"1,401","1,260","3,125","24,705","16,937",120,134,"2,831",12,22,594,"4,055","24,705","1,032","1,555",937,"1,130","1,832","2,025","1,789","2,015","1,286","1,728","1,059",897,"1,602","2,152","1,783","1,883",48.3,"17,857",4.30%,11.10%,26.10%,34.50%,24.00%,"7,048",2.80%,"12,421",3.30%,"8,856","$926,100","8,435",
Norwalk city,16000US0652526,California,Los Angeles,"25,145,028","105,304","10,846.50","$70,667","26,964","3,596","5,032","5,500","4,356","5,492","2,011",977,"105,304","10,861","4,713",178,"14,247",701,165,"1,010","73,429","105,304","6,992","6,980","7,976","7,613","6,688","6,456","5,251","4,803","7,128","7,576","8,621","7,580","6,897","6,503","5,166","3,074",34.9,"68,748",23.60%,28.50%,29.20%,14.10%,4.60%,"22,417",8.20%,"51,673",5.80%,"28,011","$440,800","26,964",
Novato city,16000US0652582,California,Marin,"71,090,675","55,642","2,027.20","$101,342","22,325","2,444","3,003","3,064","2,528","4,289","2,469","4,528","55,642","35,312","1,917",96,"4,276",62,"1,264","2,184","10,531","55,642","2,978","2,948","2,799","2,699","3,594","4,883","4,423","4,291","2,254","3,544","3,028","2,863","3,181","4,743","3,924","3,490",46.9,"40,514",7.30%,15.70%,30.60%,30.20%,16.20%,"14,424",4.60%,"29,992",3.60%,"23,090","$782,500","22,325",
Nubieber CDP,16000US0652610,California,Lassen,"1,939,993",35,46.7,"$50,625",16,7,0,9,0,0,0,0,35,13,0,0,22,0,0,0,0,35,0,10,0,0,8,0,0,4,0,4,0,0,5,0,4,0,40.4,21,19.00%,0.00%,81.00%,0.00%,0.00%,8,62.50%,10,50.00%,25,-$1,16,
Nuevo CDP,16000US0652624,California,Riverside,"17,538,033","7,182","1,060.60","$71,333","1,878",218,402,384,269,349,191,65,"7,182","2,598",177,6,0,7,6,113,"4,275","7,182",458,724,512,457,426,357,407,319,545,620,505,438,342,479,304,289,32.5,"4,400",22.90%,33.00%,28.90%,10.30%,4.80%,"1,634",10.80%,"3,338",6.70%,"2,022","$324,600","1,878",
Oak Glen CDP,16000US0652715,California,San Bernardino,"38,818,558",430,28.7,"$83,846",162,45,16,13,27,0,23,38,430,361,9,0,10,23,0,3,24,430,0,0,4,0,0,33,46,66,0,23,33,41,21,56,52,55,60.2,394,2.80%,35.50%,34.30%,15.20%,12.20%,121,23.10%,211,0.00%,179,"$795,500",162,
Oak Hills CDP,16000US0652760,California,San Bernardino,"63,065,386","10,444",428.9,"$87,429","2,940",322,499,342,549,512,397,319,"10,444","4,477",413,33,560,0,0,139,"4,822","10,444",460,444,530,650,371,765,836,671,702,632,584,753,584,"1,125",734,603,43.2,"7,642",16.70%,30.30%,41.70%,5.90%,5.30%,"2,581",5.70%,"4,868",2.50%,"3,238","$347,900","2,940",
Oak Park CDP,16000US0653116,California,Ventura,"13,710,726","13,853","2,616.90","$132,578","5,303",429,491,453,693,"1,018",781,"1,438","13,853","9,029",191,0,"2,558",17,21,713,"1,324","13,853",814,902,384,842,"1,205","1,317",913,691,968,973,564,595,"1,072","1,085","1,091",437,43.8,"9,656",1.60%,8.00%,25.70%,36.10%,28.60%,"3,641",1.90%,"7,216",5.30%,"5,401","$760,200","5,303",
Oak Shores CDP,16000US0653160,California,San Luis Obispo,"13,118,859",348,68.7,"$100,625",149,9,43,10,10,56,0,21,348,309,0,0,0,0,0,0,39,348,10,0,12,0,27,46,28,41,0,46,0,28,10,34,29,37,56.1,292,6.80%,20.90%,41.10%,20.20%,11.00%,102,0.00%,137,0.00%,667,"$469,500",149,
Oak View CDP,16000US0653182,California,Ventura,"5,081,004","4,598","2,343.80","$82,500","1,534",145,184,376,144,423,148,114,"4,598","3,000",0,0,33,0,0,57,"1,508","4,598",363,198,338,288,363,281,267,239,191,384,283,294,411,193,310,195,39.6,"3,288",17.00%,22.60%,28.10%,23.80%,8.50%,"1,125",0.90%,"2,420",5.90%,"1,610","$539,500","1,534",
Oakdale city,16000US0652694,California,Stanislaus,"16,009,670","22,936","3,710.50","$64,555","7,805","1,412","1,723","1,298",881,"1,304",676,511,"22,936","13,957",68,133,500,8,17,572,"7,681","22,936","2,093","1,595","1,395","1,761","1,329","1,716",994,"1,030","1,625","1,735","1,332","1,501","1,892","1,328",985,625,35.6,"14,294",15.00%,28.60%,37.40%,11.60%,7.40%,"5,526",8.30%,"10,670",12.20%,"8,314","$310,100","7,805",
Oakhurst CDP,16000US0652764,California,Madera,"15,529,971","3,446",574.7,"$44,310","1,252",297,416,294,119,28,98,0,"3,446","2,404",0,57,219,0,0,69,697,"3,446",163,169,354,236,96,227,265,306,387,101,196,134,102,231,207,272,39.6,"2,457",14.00%,29.40%,39.40%,14.50%,2.70%,824,32.80%,"1,555",4.10%,"1,463","$247,600","1,252",
Oakland city,16000US0653000,California,Alameda,"144,763,288","425,097","7,605.50","$73,692","162,419","32,482","27,444","22,313","18,691","24,343","14,237","22,909","425,097","120,225","98,749","1,455","65,195","2,237","1,812","20,482","114,942","425,097","24,731","21,825","34,472","39,353","29,989","25,604","22,928","20,906","24,055","22,114","31,454","39,161","29,891","24,527","19,290","14,797",36.5,"308,577",17.40%,15.80%,22.70%,25.20%,18.80%,"88,562",12.90%,"239,559",6.10%,"173,300","$687,400","162,419",
Oakley city,16000US0653070,California,Contra Costa,"41,084,650","41,324","2,605.10","$104,893","11,778","1,344","1,240","1,597","1,414","3,022","1,706","1,455","41,324","17,021","3,716",184,"2,681",392,61,"2,467","14,802","41,324","3,161","3,159","2,912","2,853","3,060","2,435","1,902","1,252","3,280","4,102","2,421","2,584","2,910","2,492","1,851",950,33.5,"24,815",12.00%,26.90%,41.10%,14.70%,5.20%,"9,795",4.80%,"20,755",3.90%,"12,097","$441,900","11,778",
Oakville CDP,16000US0653196,California,Napa,"3,522,356",91,66.9,-$1,21,0,0,21,0,0,0,0,91,0,0,0,0,0,0,0,91,91,0,26,0,21,0,0,0,0,20,0,0,0,24,0,0,0,13,45,100.00%,0.00%,0.00%,0.00%,0.00%,21,0.00%,45,46.70%,63,-$1,21,
Oasis CDP,16000US0653224,California,Riverside,"50,843,578","2,857",145.5,"$19,457",992,667,176,82,43,20,0,4,"2,857",69,2,16,55,0,2,0,"2,713","2,857",286,190,180,163,187,194,83,112,177,360,152,211,194,137,150,81,31.6,"1,703",71.90%,18.10%,7.00%,1.60%,1.40%,557,48.10%,"1,311",14.20%,"1,363",-$1,992,
Occidental CDP,16000US0653266,California,Sonoma,"12,862,112",823,165.7,"$59,643",532,64,147,79,49,61,44,88,823,688,12,0,10,0,18,35,60,823,0,30,0,49,42,23,197,101,0,0,0,27,57,46,148,103,63.9,793,0.80%,14.20%,35.40%,27.60%,21.90%,212,5.70%,431,0.00%,751,"$633,300",532,
Oceano CDP,16000US0653294,California,San Luis Obispo,"3,966,656","7,487","4,888.60","$67,742","2,634",586,470,427,314,608,105,124,"7,487","3,386",77,0,475,0,0,191,"3,358","7,487",499,206,397,574,548,521,457,505,448,676,522,495,573,368,293,405,39,"5,231",19.10%,24.20%,38.80%,13.20%,4.80%,"1,834",12.40%,"3,640",5.90%,"3,259","$392,000","2,634",
Oceanside city,16000US0653322,California,San Diego,"106,851,382","175,622","4,256.90","$72,697","61,600","8,758","12,178","10,836","8,767","10,996","5,237","4,828","175,622","82,211","7,603",792,"12,601","1,329",234,"7,319","63,533","175,622","10,327","10,310","12,121","12,517","10,398","11,617","10,986","10,885","10,703","10,591","13,756","13,390","9,559","10,845","9,392","8,225",37.7,"121,592",13.30%,20.30%,35.30%,20.80%,10.30%,"41,667",6.80%,"91,269",6.00%,"66,472","$492,600","61,600",
Ocotillo CDP,16000US0653378,California,Imperial,"22,959,357",89,10,-$1,55,37,0,5,0,13,0,0,89,89,0,0,0,0,0,0,0,89,0,0,0,3,0,23,5,21,0,5,0,6,0,21,0,5,59.4,84,0.00%,77.40%,22.60%,0.00%,0.00%,34,47.10%,13,0.00%,304,-$1,55,
Oildale CDP,16000US0653448,California,Kern,"16,919,338","34,763","5,321.50","$38,099","12,577","4,341","3,924","1,826","1,214",873,210,189,"34,763","24,127",501,261,318,0,16,"1,668","7,872","34,763","2,580","2,480","2,872","2,548","1,768","2,283","1,207","1,444","2,629","3,057","2,767","2,470","1,733","2,566","1,238","1,121",31.9,"21,171",19.40%,37.00%,34.20%,6.80%,2.60%,"7,826",25.40%,"14,701",15.00%,"13,985","$160,300","12,577",
