name,geoid,state_name,county_name,population,population_density_sq_mi,median_household_income,hhs_total,race_and_ethnicity_total,age_total,median_age,educational_attainment_population_25_years_and_over,educational_attainment_bachelors,DUMMYBachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Leona Valley CDP,16000US0641208,California,Los Angeles,1571,84.5,97500,616,1571,1571,49.6,1131,0.115,0,0.044,366,0.025,0.037,660,444300,616,
Lewiston CDP,16000US0641278,California,Trinity,1383,69.1,40096,581,1383,1383,53.7,1072,0.154,0,0.009,379,0.164,0.043,777,273000,581,
Lexington Hills CDP,16000US0641282,California,Santa Clara,2685,569.1,166932,908,2685,2685,44.2,1938,0.323,1,0.28,757,0,0.045,982,931500,908,
Likely CDP,16000US0641390,California,Modoc,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,60,-1,0,
Lincoln Village CDP,16000US0641558,California,San Joaquin,4859,6602.3,69403,1675,4859,4859,34.5,3066,0.194,0,0.14,1141,0.033,0.077,1710,266900,1675,
Lincoln city,16000US0641474,California,Placer,47388,2015.7,88734,17720,47388,47388,43.3,33962,0.217,0,0.125,12859,0.057,0.035,18293,447600,17720,
Linda CDP,16000US0641572,California,Yuba,20228,2356.3,46373,6526,20228,20228,29.5,11839,0.103,0,0.032,4746,0.186,0.092,6842,217800,6526,
Lindcove CDP,16000US0641656,California,Tulare,287,420.6,28438,98,287,287,40.4,221,0.077,0,0.018,89,0.101,0.217,130,225000,98,
Linden CDP,16000US0641670,California,San Joaquin,1547,208.8,114792,541,1547,1547,40.6,1078,0.123,0,0.102,439,0.068,0.047,566,393900,541,
Lindsay city,16000US0641712,California,Tulare,13310,4870.7,31489,3752,13310,13310,29.3,7406,0.027,0,0.011,2867,0.32,0.16,3942,142200,3752,
Linnell Camp CDP,16000US0641740,California,Tulare,928,7922.8,19670,234,928,928,19.2,403,0,0,0,221,0.525,0,248,-1,234,
Litchfield CDP,16000US0641782,California,Lassen,205,52,54712,75,205,205,36.3,146,0.267,1,0.027,62,0.129,0,97,-1,75,
Little Grass Valley CDP,16000US0641789,California,Plumas,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,99,-1,0,
Little River CDP,16000US0641866,California,Mendocino,212,126.8,-1,150,212,212,51.5,150,0.193,0,0,53,0.83,0,194,583300,150,
Little Valley CDP,16000US0641908,California,Lassen,26,62.6,-1,13,26,26,57.1,26,0,0,0,0,0,0.417,62,-1,13,
Littlerock CDP,16000US0641880,California,Los Angeles,786,426.2,38973,227,786,786,32.4,439,0.059,0,0,187,0,0.104,227,226700,227,
Live Oak CDP,16000US0641922,California,Santa Cruz,16837,5192.4,83750,6226,16837,16837,39.8,12031,0.225,0,0.16,3855,0.069,0.035,6587,718600,6226,
Live Oak city,16000US0641936,California,Sutter,8679,2780.9,54792,2455,8679,8679,32.4,5001,0.08,0,0.035,2016,0.172,0.07,2474,203400,2455,
Livermore city,16000US0641992,California,Alameda,89699,3319.3,127452,31747,89699,89699,39.8,62945,0.278,1,0.162,23624,0.029,0.031,32883,744200,31747,
Livingston city,16000US0642006,California,Merced,14228,3871.6,54886,3607,14228,14228,29.9,8622,0.066,0,0.031,3063,0.154,0.073,3699,229900,3607,
Lockeford CDP,16000US0642104,California,San Joaquin,3521,422.1,62685,1218,3521,3521,34.4,2236,0.135,0,0.053,966,0.182,0.077,1234,366000,1218,
Lockwood CDP,16000US0642146,California,Monterey,516,47.5,40982,203,516,516,37.5,340,0.091,0,0.012,90,0.156,0.059,242,240600,203,
Lodi city,16000US0642202,California,San Joaquin,65846,4828.1,58763,23142,65846,65846,35,42060,0.128,0,0.065,16081,0.116,0.071,24383,323400,23142,
Lodoga CDP,16000US0642230,California,Colusa,168,49.6,-1,80,168,168,63.5,140,0.043,0,0.021,38,0.184,0.148,151,103800,80,
Loleta CDP,16000US0642328,California,Humboldt,632,297.6,39100,264,632,632,27.9,387,0.295,1,0.036,132,0.129,0.151,313,263900,264,
Loma Linda city,16000US0642370,California,San Bernardino,24184,3158.4,55607,8932,24184,24184,36.3,17621,0.238,0,0.214,5988,0.114,0.057,9869,367400,8932,
Loma Mar CDP,16000US0642384,California,San Mateo,172,99.3,177212,64,172,172,48.2,93,0.097,0,0,29,0,0.068,64,-1,64,
Loma Rica CDP,16000US0642412,California,Yuba,3178,171.9,77946,1073,3178,3178,29.8,1959,0.14,0,0.065,645,0.068,0.05,1173,332200,1073,
Lomita city,16000US0642468,California,Los Angeles,20514,10729.9,71606,8062,20514,20514,40.1,14646,0.242,0,0.111,5038,0.06,0.032,8428,604300,8062,
Lompico CDP,16000US0642510,California,Santa Cruz,1035,306.8,90658,490,1035,1035,49.8,828,0.362,1,0.174,269,0,0.036,588,538700,490,
Lompoc city,16000US0642524,California,Santa Barbara,43232,3719.5,54855,13027,43232,43232,32.7,26837,0.089,0,0.037,9008,0.127,0.1,13567,315900,13027,
London CDP,16000US0642566,California,Tulare,1690,2685.5,32361,449,1690,1690,23.6,823,0.026,0,0,385,0.431,0.147,482,108500,449,
Lone Pine CDP,16000US0642580,California,Inyo,1807,94.9,46146,758,1807,1807,43.9,1295,0.103,0,0.068,416,0.224,0.054,956,183300,758,
Long Barn CDP,16000US0642622,California,Tuolumne,102,35.5,-1,71,102,102,60.6,102,0,0,0,31,0,0,446,-1,71,
Long Beach city,16000US0643000,California,Los Angeles,466776,9207.3,63017,166813,466776,466776,34.9,314077,0.202,0,0.11,99501,0.123,0.06,175869,556100,166813,
Lookout CDP,16000US0643126,California,Modoc,44,8.2,-1,17,44,44,32.5,28,0,0,0,3,0,0,33,-1,17,
Loomis town,16000US0643140,California,Placer,6790,934.4,83162,2619,6790,6790,46.7,4906,0.25,0,0.087,1851,0.044,0.032,2816,454400,2619,
Los Alamitos city,16000US0643224,California,Orange,11534,2866.7,88729,4092,11534,11534,39.7,8204,0.307,1,0.15,2883,0.078,0.047,4224,761200,4092,
Los Alamos CDP,16000US0643252,California,Santa Barbara,1634,422.5,64583,567,1634,1634,44.3,1128,0.087,0,0.029,426,0.103,0.076,567,450000,567,
Los Altos Hills town,16000US0643294,California,Santa Clara,8505,951.1,250001,3016,8505,8505,51.1,6224,0.287,1,0.567,2434,0.018,0.032,3324,2000001,3016,
Los Altos city,16000US0643280,California,Santa Clara,30504,4707,235278,10652,30504,30504,46.1,21494,0.325,1,0.518,8622,0.016,0.033,11057,2000001,10652,
Los Angeles city,16000US0644000,California,Los Angeles,3966936,8459.1,62142,1383869,3966936,3966936,35.6,2738015,0.226,0,0.118,824065,0.136,0.063,1493108,636900,1383869,
Los Banos city,16000US0644028,California,Merced,38914,3894,62874,10777,38914,38914,30.1,22141,0.073,0,0.032,8686,0.153,0.133,11293,293400,10777,
Los Berros CDP,16000US0644042,California,San Luis Obispo,528,210.1,-1,156,528,528,41.4,283,0.159,0,0,156,0,0,197,716700,156,
Los Gatos town,16000US0644112,California,Santa Clara,30729,2697.7,155863,12083,30729,30729,47.2,22572,0.378,1,0.32,8347,0.017,0.045,13063,1694000,12083,
Los Molinos CDP,16000US0644140,California,Tehama,1746,802.2,41000,724,1746,1746,38.6,1131,0.106,0,0.101,481,0.183,0.054,910,154700,724,
Los Olivos CDP,16000US0644168,California,Santa Barbara,791,321.7,103594,367,791,791,50.3,643,0.241,0,0.229,226,0.027,0.021,444,882600,367,
Los Osos CDP,16000US0644182,California,San Luis Obispo,16533,1295.3,77807,6392,16533,16533,46.9,12283,0.265,1,0.164,4600,0.08,0.043,6760,551500,6392,
Los Ranchos CDP,16000US0644242,California,San Luis Obispo,1639,579.3,180875,631,1639,1639,54.9,1245,0.447,1,0.271,516,0,0.054,664,992100,631,
Lost Hills CDP,16000US0644280,California,Kern,1726,310.9,34875,478,1726,1726,24,846,0.013,0,0,327,0.229,0.044,522,126600,478,
Lower Lake CDP,16000US0644350,California,Lake,1355,508.1,32500,526,1355,1355,54.1,968,0.058,0,0.001,343,0.245,0.1,753,94500,526,
Loyalton city,16000US0644364,California,Sierra,1093,3074.6,60852,361,1093,1093,36.4,755,0.032,0,0.017,278,0.108,0.027,432,139100,361,
Loyola CDP,16000US0644378,California,Santa Clara,3367,2361.7,246563,1115,3367,3367,46.8,2289,0.377,1,0.518,972,0.005,0.033,1192,2000001,1115,
Lucas Valley-Marinwood CDP,16000US0644399,California,Marin,6686,1166.6,137931,2412,6686,6686,47.8,4740,0.354,1,0.251,1762,0.032,0.036,2412,976900,2412,
Lucerne CDP,16000US0644406,California,Lake,2896,581.8,44972,1187,2896,2896,37.7,2070,0.094,0,0.102,645,0.064,0.04,1755,207400,1187,
Lucerne Valley CDP,16000US0644420,California,San Bernardino,5956,56.4,32789,2148,5956,5956,40.5,4173,0.057,0,0.04,1438,0.286,0.175,2855,161900,2148,
Lynwood city,16000US0644574,California,Los Angeles,70635,14593.9,52213,15405,70635,70635,30,41964,0.06,0,0.016,13497,0.164,0.084,15698,399100,15405,
Lytle Creek CDP,16000US0644644,California,San Bernardino,673,111.8,40163,361,673,673,54.9,579,0.104,0,0.097,172,0.151,0,492,305200,361,
Mabie CDP,16000US0644672,California,Plumas,25,6.9,-1,14,25,25,-1,25,0,0,0,14,0,0,14,-1,14,
Macdoel CDP,16000US0644812,California,Siskiyou,54,364.5,-1,16,54,54,49.1,29,0.448,1,0,16,0,0.448,16,-1,16,
Mad River CDP,16000US0645092,California,Trinity,458,12.9,25400,212,458,458,54,336,0.137,0,0.015,101,0.267,0.087,380,233300,212,
Madera Acres CDP,16000US0645050,California,Madera,9857,1353.8,88482,2485,9857,9857,36.2,6232,0.122,0,0.016,2242,0.074,0.079,2660,234500,2485,
Madera city,16000US0645022,California,Madera,64833,3970.2,45163,18122,64833,64833,28.6,35753,0.069,0,0.026,14417,0.231,0.092,19210,224100,18122,
Madison CDP,16000US0645064,California,Yolo,581,375.8,41050,193,581,581,35.3,383,0.005,0,0,160,0.181,0.036,193,169400,193,
Magalia CDP,16000US0645120,California,Butte,11476,818.9,50415,4633,11476,11476,49.9,8555,0.136,0,0.051,2946,0.053,0.072,5345,172900,4633,
Malaga CDP,16000US0645232,California,Fresno,1186,4329.7,42232,289,1186,1186,25.5,608,0.03,0,0.033,246,0.244,0.084,341,188400,289,
Malibu city,16000US0645246,California,Los Angeles,12620,635.9,150747,5681,12620,12620,53,9853,0.379,1,0.281,3495,0.023,0.035,7778,2000001,5681,
Mammoth Lakes town,16000US0645358,California,Mono,8169,328.5,59620,2514,8169,8169,31.6,5117,0.213,0,0.052,1088,0.03,0.003,9795,337700,2514,
Manchester CDP,16000US0645386,California,Mendocino,218,83.3,48750,86,218,218,43.2,149,0.174,0,0.034,51,0,0.092,118,340900,86,
Manhattan Beach city,16000US0645400,California,Los Angeles,35500,9016.5,153023,13427,35500,35500,44,24702,0.405,1,0.347,9581,0.02,0.051,15020,2000001,13427,
Manila CDP,16000US0645414,California,Humboldt,793,1137.8,42500,346,793,793,42,590,0.188,0,0.163,211,0.085,0.075,405,276100,346,
Manteca city,16000US0645484,California,San Joaquin,79129,3699.6,72867,25200,79129,79129,36.2,51324,0.118,0,0.049,19165,0.086,0.082,26152,386400,25200,
Manton CDP,16000US0645512,California,Tehama,350,19.8,39250,126,350,350,35.8,211,0.081,0,0.052,102,0.559,0.089,168,538500,126,
March ARB CDP,16000US0645680,California,Riverside,989,82.9,70729,476,989,989,46.4,689,0.2,0,0.168,166,0.114,0.039,689,300000,476,
Maricopa city,16000US0645736,California,Kern,1229,818.4,35893,403,1229,1229,33.2,758,0.034,0,0,260,0.165,0.136,462,77100,403,
Marin City CDP,16000US0645820,California,Marin,3126,5824,45841,1377,3126,3126,36,2134,0.257,1,0.136,698,0.163,0.035,1417,733700,1377,
Marina city,16000US0645778,California,Monterey,21981,2472.9,64258,7771,21981,21981,33.9,13831,0.187,0,0.101,4834,0.072,0.051,8113,513000,7771,
Marina del Rey CDP,16000US0645806,California,Los Angeles,9852,11487,118162,5537,9852,9852,38,8133,0.489,1,0.218,1766,0.157,0.028,6158,791700,5537,
Mariposa CDP,16000US0645932,California,Mariposa,1186,390.5,27454,699,1186,1186,55.5,1013,0.127,0,0.058,347,0.179,0.092,803,276200,699,
Markleeville CDP,16000US0645988,California,Alpine,132,20.2,89688,72,132,132,66.8,132,0.303,1,0.295,53,0,0,287,340000,72,
Martell CDP,16000US0646100,California,Amador,400,167,78681,99,400,400,29.6,208,0.125,0,0,73,0,0,99,192400,99,
Martinez city,16000US0646114,California,Contra Costa,38290,3031.4,107328,14723,38290,38290,42.6,27468,0.272,1,0.143,9617,0.026,0.039,15426,596400,14723,
Marysville city,16000US0646170,California,Yuba,12327,3558.8,44839,4756,12327,12327,31.8,8142,0.097,0,0.039,2719,0.162,0.071,5324,207200,4756,
Matheny CDP,16000US0646223,California,Tulare,1137,2654,38482,293,1137,1137,25.2,577,0.038,0,0,239,0.272,0.069,325,114700,293,
Mather CDP,16000US0646226,California,Sacramento,4272,426.1,87976,1388,4272,4272,35,2878,0.272,1,0.112,1018,0.051,0.058,1424,360000,1388,
Maxwell CDP,16000US0646338,California,Colusa,1076,500.4,64239,356,1076,1076,35.4,713,0.063,0,0.017,308,0.071,0.043,434,210300,356,
Mayfair CDP,16000US0646400,California,Fresno,4950,9548.4,42171,1483,4950,4950,31.3,3043,0.081,0,0.013,1146,0.273,0.088,1648,157400,1483,
Mayflower Village CDP,16000US0646436,California,Los Angeles,5873,8541.5,95203,1836,5873,5873,44.3,4259,0.268,1,0.111,1431,0.058,0.043,1939,609400,1836,
Maywood city,16000US0646492,California,Los Angeles,27332,23193.7,44241,6695,27332,27332,30.1,16481,0.047,0,0.01,5645,0.215,0.078,6836,387000,6695,
McArthur CDP,16000US0644700,California,Shasta,446,445.4,41875,163,446,446,40.5,275,0,0,0,122,0.311,0,212,172200,163,
McClellan Park CDP,16000US0644760,California,Sacramento,1046,256.4,21591,328,1046,1046,30.9,614,0.137,0,0.062,201,0.602,0.1,328,-1,328,
McClenney Tract CDP,16000US0644770,California,Tulare,47,76.3,-1,26,47,47,25.8,34,0.235,0,0,8,1,0.581,45,-1,26,
McCloud CDP,16000US0644784,California,Siskiyou,1020,421.1,34405,494,1020,1020,52.9,791,0.139,0,0.021,264,0.057,0.155,740,187200,494,
McFarland city,16000US0644826,California,Kern,14823,5555.7,35346,3269,14823,14823,26.2,7681,0.02,0,0.014,2869,0.294,0.134,3367,171000,3269,
McGee Creek CDP,16000US0644830,California,Mono,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,
McKinleyville CDP,16000US0644910,California,Humboldt,17208,824.1,54614,6618,17208,17208,35,10973,0.225,0,0.116,3857,0.075,0.068,6973,296700,6618,
McKittrick CDP,16000US0644924,California,Kern,116,44.3,38750,42,116,116,53.5,94,0.021,0,0,39,0.333,0,50,-1,42,
McSwain CDP,16000US0645006,California,Merced,4399,728.5,101283,1539,4399,4399,43.6,3071,0.259,1,0.103,1300,0.022,0.043,1590,458100,1539,
Mead Valley CDP,16000US0646646,California,Riverside,20145,1055.6,59079,4400,20145,20145,33.2,11964,0.038,0,0.014,3862,0.194,0.091,4816,268900,4400,
Meadow Valley CDP,16000US0646618,California,Plumas,420,49.3,70625,228,420,420,59.9,376,0.144,0,0.144,112,0,0.138,316,239700,228,
Meadow Vista CDP,16000US0646632,California,Placer,3679,696.6,92411,1389,3679,3679,49.3,2721,0.222,0,0.133,1029,0.052,0.038,1460,503400,1389,
Meadowbrook CDP,16000US0646520,California,Riverside,3414,508.2,51512,901,3414,3414,39.7,2315,0.062,0,0.011,710,0.082,0.097,1045,214300,901,
Mecca CDP,16000US0646660,California,Riverside,6635,953.5,23600,1860,6635,6635,30.2,3654,0.008,0,0,1355,0.374,0.118,2159,158500,1860,
Meiners Oaks CDP,16000US0646702,California,Ventura,3569,2534.4,84257,1190,3569,3569,40,2686,0.246,0,0.118,813,0.02,0.019,1304,633800,1190,
Mendocino CDP,16000US0646814,California,Mendocino,855,378.8,63750,451,855,855,55.3,715,0.322,1,0.291,205,0,0.017,627,474600,451,
Mendota city,16000US0646828,California,Fresno,11531,3406,31237,2838,11531,11531,27.1,6141,0.015,0,0,2380,0.353,0.192,2965,158700,2838,
Menifee city,16000US0646842,California,Riverside,90349,1944.2,70224,29080,90349,90349,37.7,60605,0.125,0,0.072,21286,0.069,0.073,31128,334600,29080,
Menlo Park city,16000US0646870,California,San Mateo,34138,3409.8,160784,11906,34138,34138,37.9,23168,0.289,1,0.408,7889,0.038,0.036,13020,2000001,11906,
Mentone CDP,16000US0646884,California,San Bernardino,9793,1602.6,68650,3341,9793,9793,36.6,6641,0.143,0,0.088,2372,0.038,0.067,3451,310300,3341,
Merced city,16000US0646898,California,Merced,82662,3559,45232,25490,82662,82662,29.4,46964,0.097,0,0.068,17672,0.235,0.127,26873,237500,25490,
Meridian CDP,16000US0646926,California,Sutter,371,70.1,51250,153,371,371,49.1,267,0.12,0,0.034,105,0.019,0.075,179,226900,153,
Mesa CDP,16000US0647013,California,Inyo,348,99.3,79750,146,348,348,45.1,262,0.298,1,0.046,100,0.08,0.046,146,414000,146,
Mesa Verde CDP,16000US0647066,California,Riverside,913,212.3,42500,228,913,913,36.3,600,0.008,0,0.033,194,0.268,0.409,314,70600,228,
Mesa Vista CDP,16000US0647086,California,Alpine,228,46.8,110083,81,228,228,64.1,203,0.217,0,0.094,59,0,0.088,115,393500,81,
Mettler CDP,16000US0647164,California,Kern,157,675.1,58438,49,157,157,40,111,0,0,0.036,37,0.054,0.141,49,134700,49,
Mexican Colony CDP,16000US0647192,California,Kern,423,13309.9,30982,115,423,423,27.9,245,0.016,0,0,93,0.441,0.067,130,65000,115,
Mi-Wuk Village CDP,16000US0648298,California,Tuolumne,880,316.7,115993,382,880,880,62,848,0,0,0,261,0,0.047,1115,297100,382,
Middletown CDP,16000US0647332,California,Lake,739,400.7,-1,271,739,739,43.5,498,0.026,0,0,182,0.082,0.09,505,2000001,271,
Midpines CDP,16000US0647374,California,Mariposa,1427,58.2,51750,658,1427,1427,41.9,1038,0.176,0,0.168,435,0.211,0.136,878,301600,658,
Midway City CDP,16000US0647430,California,Orange,8343,13715.1,40059,2432,8343,8343,38.8,5483,0.141,0,0.046,1717,0.26,0.104,2553,573400,2432,
Milford CDP,16000US0647472,California,Lassen,206,38.9,-1,70,206,206,40,132,0.212,0,0,70,0,0,98,-1,70,
Mill Valley city,16000US0647710,California,Marin,14330,3008.6,163614,6107,14330,14330,48.7,10762,0.403,1,0.362,4024,0.032,0.023,6628,1598700,6107,
Millbrae city,16000US0647486,California,San Mateo,22625,6958.9,128494,7976,22625,22625,43.9,16919,0.329,1,0.194,5845,0.051,0.035,8377,1403100,7976,
Millville CDP,16000US0647724,California,Shasta,678,84.3,67222,280,678,678,53.4,479,0.207,0,0.146,191,0.157,0.016,299,410000,280,
Milpitas city,16000US0647766,California,Santa Clara,79517,5824.1,132320,23595,79517,79517,36.3,56605,0.306,1,0.201,19074,0.043,0.037,24638,858600,23595,
Mineral CDP,16000US0647794,California,Tehama,359,8.1,48859,137,359,359,40.1,210,0.224,0,0,55,0,0.198,559,171700,137,
Minkler CDP,16000US0647822,California,Fresno,958,164.4,-1,483,958,958,53.2,720,0.196,0,0.06,265,0.049,0,495,344900,483,
Mira Monte CDP,16000US0648046,California,Ventura,6633,1451.4,77429,2659,6633,6633,51.3,5360,0.204,0,0.144,1641,0.067,0.057,2993,589200,2659,
Miranda CDP,16000US0648060,California,Humboldt,605,405.1,-1,260,605,605,36.2,431,0.114,0,0,79,0,0,327,-1,260,
Mission Canyon CDP,16000US0648147,California,Santa Barbara,2508,1662.3,135972,1027,2508,2508,54.1,2010,0.348,1,0.341,728,0.025,0.021,1148,1165900,1027,
Mission Hills CDP,16000US0648186,California,Santa Barbara,3842,3178.6,86296,1302,3842,3842,45.6,2652,0.141,0,0.136,1081,0.039,0.088,1302,376400,1302,
Mission Viejo city,16000US0648256,California,Orange,95516,5396.1,118477,33567,95516,95516,45.5,69968,0.32,1,0.17,25797,0.033,0.041,35127,693000,33567,
Modesto city,16000US0648354,California,Stanislaus,212616,4947.3,59287,72332,212616,212616,35.6,139011,0.129,0,0.058,50659,0.111,0.089,75221,283800,72332,
Mohawk Vista CDP,16000US0648448,California,Plumas,54,4.5,-1,32,54,54,64.5,54,0.185,0,0,19,0,0,85,-1,32,
Mojave CDP,16000US0648452,California,Kern,3855,66.1,27333,1536,3855,3855,37.2,2600,0.073,0,0.02,949,0.296,0.183,1930,105800,1536,
Mokelumne Hill CDP,16000US0648480,California,Calaveras,691,224.4,44939,248,691,691,48.3,511,0.127,0,0.098,148,0.25,0.162,294,243300,248,
Monmouth CDP,16000US0648592,California,Fresno,111,360.3,32969,35,111,111,46.5,74,0,0,0,24,0.125,0.242,44,124100,35,
Mono City CDP,16000US0648602,California,Mono,96,17.7,-1,54,96,96,43.2,54,0,0,0.611,33,0,0,66,-1,54,
Mono Vista CDP,16000US0648641,California,Tuolumne,3446,1215.2,80651,1397,3446,3446,43.9,2715,0.159,0,0.04,850,0.035,0.01,1558,254500,1397,
Monrovia city,16000US0648648,California,Los Angeles,36816,2700.3,77111,12928,36816,36816,40.4,26233,0.23,0,0.144,8763,0.059,0.059,13761,663400,12928,
Monson CDP,16000US0648676,California,Tulare,283,565.8,52880,47,283,283,26,142,0.148,0,0,47,0.255,0.313,58,195000,47,
Montague city,16000US0648690,California,Siskiyou,1469,826.3,46927,587,1469,1469,40,1045,0.102,0,0,419,0.038,0.059,695,133300,587,
Montalvin Manor CDP,16000US0648718,California,Contra Costa,2852,8872.6,64389,816,2852,2852,36.6,1887,0.117,0,0.029,607,0.125,0.034,916,346600,816,
Montara CDP,16000US0648760,California,San Mateo,2504,645.6,93167,1028,2504,2504,58.9,1942,0.368,1,0.166,740,0,0.016,1130,1012400,1028,
Montclair city,16000US0648788,California,San Bernardino,39155,7099.3,62024,10331,39155,39155,32.5,24455,0.117,0,0.046,8291,0.119,0.075,10557,354500,10331,
Monte Rio CDP,16000US0648928,California,Sonoma,977,513.2,43603,489,977,977,51.3,788,0.151,0,0.095,202,0.114,0.161,923,462400,489,
Monte Sereno city,16000US0648956,California,Santa Clara,3479,2121.4,250001,1128,3479,3479,48.7,2365,0.395,1,0.396,1015,0.021,0.037,1245,2000001,1128,
Montebello city,16000US0648816,California,Los Angeles,62742,7530.3,56150,18888,62742,62742,36.1,42502,0.144,0,0.054,14686,0.114,0.07,19919,492300,18888,
Montecito CDP,16000US0648844,California,Santa Barbara,8245,882.1,159706,3102,8245,8245,50.8,5395,0.349,1,0.371,1951,0.053,0.088,4252,2000001,3102,
Monterey Park Tract CDP,16000US0648916,California,Stanislaus,272,5756.1,-1,59,272,272,19.2,102,0,0,0.118,47,0.766,0.067,59,-1,59,
Monterey Park city,16000US0648914,California,Los Angeles,60439,7876.7,61819,19955,60439,60439,44.1,45958,0.223,0,0.095,15129,0.101,0.052,21318,616000,19955,
Monterey city,16000US0648872,California,Monterey,28352,3282.3,80694,11872,28352,28352,37.8,20566,0.295,1,0.233,5712,0.046,0.03,13510,782500,11872,
Montgomery Creek CDP,16000US0648998,California,Shasta,145,44.6,32833,68,145,145,57.5,124,0.089,0,0.177,18,0.111,0.387,94,320000,68,
Monument Hills CDP,16000US0649045,California,Yolo,1466,363.9,118929,486,1466,1466,38.9,944,0.183,0,0.324,426,0,0.07,610,692500,486,
Moorpark city,16000US0649138,California,Ventura,36372,2891.3,107820,11590,36372,36372,39,24801,0.287,1,0.16,9247,0.027,0.043,12114,632900,11590,
Morada CDP,16000US0649180,California,San Joaquin,3166,1062,154891,1100,3166,3166,52.1,2286,0.196,0,0.266,973,0.029,0,1234,655300,1100,
Moraga town,16000US0649187,California,Contra Costa,17539,1853.1,140378,5867,17539,17539,43.2,10979,0.386,1,0.35,4354,0.017,0.04,6015,1140700,5867,
Moreno Valley city,16000US0649270,California,Riverside,207289,4044.1,66134,50886,207289,207289,30.9,123871,0.108,0,0.055,42716,0.12,0.084,54041,312000,50886,
Morgan Hill city,16000US0649278,California,Santa Clara,44686,3438.4,124419,14854,44686,44686,39.3,29879,0.287,1,0.152,11717,0.031,0.04,15233,855100,14854,
Morongo Valley CDP,16000US0649348,California,San Bernardino,3090,122.5,53386,1451,3090,3090,50.1,2462,0.134,0,0.104,646,0.037,0.052,2006,165900,1451,
Morro Bay city,16000US0649362,California,San Luis Obispo,10578,1986.7,68262,4899,10578,10578,50.8,8113,0.223,0,0.185,2634,0.087,0.074,6386,607300,4899,
Moskowite Corner CDP,16000US0649432,California,Napa,121,43,61875,56,121,121,54.6,93,0.054,0,0,37,0,0.3,69,-1,56,
Moss Beach CDP,16000US0649446,California,San Mateo,3604,1606.3,108860,1244,3604,3604,42.9,2480,0.375,1,0.173,960,0.054,0.004,1284,944900,1244,
Moss Landing CDP,16000US0649488,California,Monterey,54,135.8,90147,32,54,54,52.7,54,0,0,0.111,17,0,0,46,576100,32,
Mount Hebron CDP,16000US0649768,California,Siskiyou,72,100.9,-1,30,72,72,42.6,46,0,0,0,15,0,0,38,-1,30,
Mount Hermon CDP,16000US0649796,California,Santa Cruz,1259,1936.8,90208,354,1259,1259,33.7,770,0.37,1,0.23,276,0.04,0.136,430,676200,354,
Mount Laguna CDP,16000US0649810,California,San Diego,117,68.9,-1,24,117,117,27.7,87,1,1,0,24,0,0,172,-1,24,
Mount Shasta city,16000US0649852,California,Siskiyou,3275,869.6,35547,1823,3275,3275,57.5,2617,0.191,0,0.147,882,0.22,0.03,2144,246300,1823,
Mountain Center CDP,16000US0649544,California,Riverside,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,35,-1,0,
Mountain Gate CDP,16000US0649558,California,Shasta,952,482,30060,400,952,952,47.1,676,0.098,0,0.013,243,0.181,0.187,430,119800,400,
Mountain House CDP,16000US0649582,California,San Joaquin,17966,5627.1,140801,4732,17966,17966,33.1,9875,0.274,1,0.199,4267,0.043,0.053,4846,595700,4732,
Mountain Mesa CDP,16000US0649600,California,Kern,1396,1609.5,38175,440,1396,1396,34.8,936,0.154,0,0.041,334,0.15,0.136,440,177200,440,
Mountain Ranch CDP,16000US0649628,California,Calaveras,1141,27.7,50350,557,1141,1141,60.7,1033,0.21,0,0.023,312,0.026,0.112,871,286200,557,
Mountain View Acres CDP,16000US0649684,California,San Bernardino,4447,2799.3,44836,1124,4447,4447,30.6,2577,0.084,0,0.037,803,0.23,0.126,1189,224000,1124,
Mountain View CDP,16000US0649651,California,Contra Costa,1970,6858.5,72222,770,1970,1970,33,1350,0.224,0,0.03,475,0.04,0.081,787,421500,770,
Mountain View city,16000US0649670,California,Santa Clara,81656,6810,139720,33756,81656,81656,34.8,59633,0.294,1,0.401,19102,0.032,0.033,36298,1413500,33756,
Muir Beach CDP,16000US0649950,California,Marin,336,681.8,156250,162,336,336,53.3,264,0.405,1,0.314,93,0,0.057,205,1450000,162,
Murphys CDP,16000US0650034,California,Calaveras,2188,212,48246,988,2188,2188,62.1,1884,0.167,0,0.079,551,0.044,0.028,1325,302300,988,
Murrieta city,16000US0650076,California,Riverside,112941,3360.1,90535,32175,112941,112941,34.2,69942,0.205,0,0.098,25635,0.06,0.076,34117,414100,32175,
Muscoy CDP,16000US0650132,California,San Bernardino,12562,4161.1,46969,2711,12562,12562,28.8,7053,0.051,0,0.011,2337,0.241,0.173,2800,251400,2711,
Myers Flat CDP,16000US0650146,California,Humboldt,132,305.4,-1,35,132,132,63.5,132,0,0,0,35,0,0,93,-1,35,
Myrtletown CDP,16000US0650188,California,Humboldt,5222,2487.8,59330,2146,5222,5222,44.1,4016,0.143,0,0.083,1157,0.105,0.07,2450,278700,2146,
