name,geoid,state_name,county_name,population,population_density_sq_mi,median_household_income,hhs_total,race_and_ethnicity_total,age_total,median_age,educational_attainment_population_25_years_and_over,educational_attainment_bachelors,DUMMYBachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Fortuna city,16000US0625296,California,Humboldt,12210,2326.7,46193,4769,12210,12210,40.8,8278,0.158,0,0.038,3114,0.105,0.074,5140,283400,4769,
Foster City city,16000US0625338,California,San Mateo,33997,8956.3,158529,12690,33997,33997,40,25115,0.352,1,0.351,9236,0.035,0.031,13459,1245800,12690,
Fountain Valley city,16000US0625380,California,Orange,56026,6176.1,93075,18469,56026,56026,44.6,40372,0.293,1,0.142,14219,0.049,0.041,18948,734800,18469,
Fowler city,16000US0625436,California,Fresno,6527,2577.9,57676,2075,6527,6527,33.6,4309,0.15,0,0.055,1525,0.154,0.06,2143,253300,2075,
Franklin CDP,16000US0625488,California,Merced,6929,3433.6,51589,1862,6929,6929,32,4264,0.053,0,0.033,1538,0.21,0.086,1976,195900,1862,
Franklin CDP,16000US0625506,California,Sacramento,82,38.9,-1,34,82,82,45.9,68,0,0,0.088,14,0,0,58,357100,34,
Frazier Park CDP,16000US0625534,California,Kern,2587,510.5,33977,1091,2587,2587,47.5,1936,0.103,0,0.054,580,0.226,0.121,1408,160000,1091,
Freedom CDP,16000US0625576,California,Santa Cruz,3777,3326.5,75641,1053,3777,3777,32.8,2166,0.132,0,0.042,791,0.143,0.118,1070,489500,1053,
Freeport CDP,16000US0625590,California,Sacramento,70,1378.7,-1,48,70,70,55.5,70,0,0,0,24,0,0,48,-1,48,
Fremont city,16000US0626000,California,Alameda,235740,3043.2,133354,75687,235740,235740,38.3,167409,0.298,1,0.272,61684,0.027,0.036,79170,931600,75687,
French Camp CDP,16000US0626028,California,San Joaquin,3841,1241.4,42067,505,3841,3841,33.4,2785,0.05,0,0.011,322,0.112,0.077,580,280000,505,
French Gulch CDP,16000US0626056,California,Shasta,433,35.1,43583,179,433,433,51.8,340,0.097,0,0.059,120,0.033,0.045,200,103500,179,
French Valley CDP,16000US0626067,California,Riverside,36126,3322.4,111052,8943,36126,36126,33,22104,0.213,0,0.092,7771,0.042,0.088,9262,430400,8943,
Fresno city,16000US0627000,California,Fresno,525010,4576.3,50432,168625,525010,525010,31,318512,0.145,0,0.074,115128,0.206,0.094,178831,242000,168625,
Friant CDP,16000US0627014,California,Fresno,604,482.9,56154,256,604,604,49,424,0.09,0,0.047,172,0.087,0.129,299,152800,256,
