name,geoid,state_name,county_name,land_area (sqmtrs),population,population_density_sq_mi,median_household_income,hhs_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,DUMMYBachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Contra Costa Centre CDP,16000US0616090,California,Contra Costa,1648552,6558,10303.1,97684,3611,426,349,480,582,637,578,559,6558,3552,232,0,1614,0,0,423,737,6558,266,86,774,682,452,239,292,138,259,97,1063,952,347,490,359,62,32.8,5321,0.033,0.058,0.157,0.46,1,0.293,1446,0.014,4650,0.023,3645,666100,3611,
Copperopolis CDP,16000US0616210,California,Calaveras,53773314,4361,210,82043,1659,207,280,289,319,213,230,121,4361,3620,84,0,57,0,0,88,512,4361,290,86,268,175,200,314,440,321,387,107,175,288,234,387,334,355,49.3,3431,0.104,0.302,0.405,0.12,0,0.069,1171,0.079,2062,0.087,2532,337000,1659,
Corcoran city,16000US0616224,California,Kings,19095385,22156,3005.1,40159,4025,1256,1240,750,506,179,74,20,22156,3608,2516,157,161,20,8,296,15390,22156,1100,1365,1082,742,704,850,477,654,1169,955,3134,3701,2504,2165,955,599,35.2,15562,0.423,0.286,0.255,0.026,0,0.009,3027,0.243,4973,0.116,4326,149300,4025,
Corning city,16000US0616322,California,Tehama,9193425,7590,2138.3,43042,2651,884,587,539,312,290,26,13,7590,3695,73,84,33,0,0,78,3627,7590,494,672,690,699,198,550,433,281,806,217,708,583,325,378,325,231,32.3,4656,0.2,0.376,0.304,0.1,0,0.02,1887,0.193,3537,0.101,2863,167700,2651,
Corona city,16000US0616350,California,Riverside,103562975,166972,4175.8,83752,48899,6104,8212,7729,6162,10208,5421,5063,166972,57987,8649,283,18564,626,358,4226,76279,166972,10796,11614,12583,11804,12184,11479,7156,6189,10995,13195,12680,11573,12347,11232,6597,4548,35,108300,0.144,0.244,0.342,0.181,0,0.089,37543,0.078,86507,0.051,50761,467000,48899,
Coronado city,16000US0616378,California,San Diego,20648974,23639,2965,108967,8435,857,813,987,1086,1847,898,1947,23639,17703,731,70,733,16,54,584,3748,23639,968,1478,1123,1068,1344,1543,1623,1747,1113,1601,3015,1217,1464,1231,1556,1548,40.6,15935,0.023,0.092,0.241,0.332,1,0.312,5665,0.045,8473,0.043,11119,1617000,8435,
Coronita CDP,16000US0616420,California,Riverside,1549711,3383,5653.9,109554,743,62,82,104,59,274,71,91,3383,1242,16,0,106,18,0,0,2001,3383,131,253,367,281,228,193,120,88,310,253,349,225,170,169,147,99,30.3,1970,0.139,0.316,0.331,0.123,0,0.091,585,0.039,1844,0.062,790,438100,743,
Corralitos CDP,16000US0616434,California,Santa Cruz,23273553,2160,240.4,139779,845,83,64,168,76,114,62,278,2160,1783,0,0,99,0,0,100,178,2160,31,112,132,119,131,213,173,178,67,101,121,92,106,202,235,147,50.3,1807,0.07,0.208,0.256,0.255,1,0.211,653,0.023,1126,0.128,874,959800,845,
Corte Madera town,16000US0616462,California,Marin,8184894,9838,3113.1,149439,3930,272,337,347,429,613,538,1394,9838,7719,228,0,604,0,153,437,697,9838,681,856,157,353,938,1005,723,820,570,509,358,527,581,799,514,447,46.5,6773,0.006,0.1,0.228,0.343,1,0.325,2451,0.02,5277,0.055,4132,1200300,3930,
Costa Mesa city,16000US0616532,California,Orange,40910131,113159,7164,84138,40986,5114,6352,6480,5704,8171,4090,5075,113159,56647,1988,198,9456,846,458,3234,40332,113159,6231,6522,9703,9309,7556,7200,4799,4883,6130,6826,9678,10812,8331,7138,4161,3880,35.2,79848,0.148,0.174,0.275,0.275,1,0.129,24389,0.082,67265,0.042,43122,749400,40986,
Cotati city,16000US0616560,California,Sonoma,4869301,7454,3964.8,82182,2758,395,438,396,447,619,185,278,7454,5555,46,0,121,25,49,283,1375,7454,675,334,680,490,583,465,330,436,392,398,623,650,484,363,374,177,36,4872,0.098,0.221,0.364,0.214,0,0.103,1777,0.068,4248,0.044,2911,525500,2758,
Coto de Caza CDP,16000US0616580,California,Orange,19993001,15056,1950.4,199056,4910,279,131,271,322,670,799,2438,15056,11756,154,17,1224,31,59,422,1393,15056,580,1417,485,529,1307,1604,922,612,757,1297,645,550,1157,1501,1082,611,46.3,10366,0.02,0.082,0.247,0.389,1,0.262,4377,0.03,8019,0.036,5108,1043700,4910,
Cottonwood CDP,16000US0616630,California,Shasta,6012872,3243,1396.9,34653,1307,435,355,170,213,98,36,0,3243,2851,0,62,0,56,13,0,261,3243,335,124,363,168,256,187,129,73,413,150,258,189,234,178,135,51,28.8,2011,0.07,0.299,0.519,0.11,0,0.003,811,0.271,1344,0,1386,159100,1307,
Coulterville CDP,16000US0616644,California,Mariposa,10917076,60,14.2,-1,43,24,12,7,0,0,0,0,60,53,0,0,0,0,0,0,7,60,0,0,0,0,0,19,6,0,0,0,0,0,0,4,31,0,64.5,60,0.1,0.183,0.717,0,0,0,0,0,19,0,80,-1,43,
Country Club CDP,16000US0616651,California,San Joaquin,4964750,9977,5204.8,56250,3469,712,862,540,562,466,78,249,9977,3194,696,6,568,0,10,340,5163,9977,573,671,659,944,628,464,680,398,531,977,838,761,432,515,578,328,34.7,6509,0.189,0.337,0.35,0.077,0,0.047,2403,0.132,4800,0.15,3973,236000,3469,
Courtland CDP,16000US0616714,California,Sacramento,4662083,179,99.4,58421,74,10,11,28,19,6,0,0,179,119,0,0,0,0,0,9,51,179,18,0,32,0,11,13,34,0,20,0,0,17,0,10,15,9,40.2,141,0.128,0.404,0.121,0.277,1,0.071,53,0,113,0.159,95,-1,74,
Covelo CDP,16000US0616728,California,Mendocino,18377248,1140,160.7,37143,428,136,178,54,32,19,3,6,1140,437,17,182,1,1,0,122,380,1140,96,87,64,53,10,64,93,70,95,82,95,63,80,46,72,70,36.1,716,0.237,0.175,0.38,0.159,0,0.049,237,0.291,393,0.084,560,238300,428,
Covina city,16000US0616742,California,Los Angeles,18203119,48095,6843.1,70780,15350,2088,2980,2999,2286,2533,1419,1045,48095,10823,1567,138,6121,25,170,992,28259,48095,2527,3489,2824,3591,3256,3409,2829,2549,3146,3109,3632,3778,3226,2916,2063,1751,37.3,32718,0.142,0.252,0.346,0.188,0,0.072,11245,0.065,25950,0.058,16000,509200,15350,
Cowan CDP,16000US0616762,California,Stanislaus,365090,498,3532.9,65411,122,22,7,93,0,0,0,0,498,152,0,0,36,0,0,24,286,498,75,0,26,0,53,0,27,0,78,55,60,0,55,0,20,49,26.7,266,0.308,0.406,0.286,0,0,0,100,0,202,0.213,122,-1,122,
Crescent City city,16000US0617022,California,Del Norte,5085115,6676,3400.3,32137,1794,695,594,318,74,113,0,0,6676,3534,510,215,202,16,0,44,2155,6676,227,209,329,310,179,381,187,275,226,351,1075,1422,626,405,226,248,34.9,5200,0.353,0.315,0.241,0.06,0,0.031,884,0.295,1553,0.069,1974,165300,1794,
Crescent Mills CDP,16000US0617050,California,Plumas,10985561,93,21.9,-1,62,33,29,0,0,0,0,0,93,80,0,0,0,0,0,0,13,93,0,0,0,0,13,9,10,17,0,0,0,0,12,12,20,0,62,93,0,0.462,0.183,0.097,0,0.258,23,0.478,45,0,62,-1,62,
Cressey CDP,16000US0617078,California,Merced,4554487,340,193.3,44000,102,25,28,16,16,15,2,0,340,167,0,0,0,0,0,18,155,340,45,4,0,32,5,27,18,22,43,22,19,10,32,15,15,31,35.9,226,0.181,0.226,0.323,0.257,1,0.013,69,0.043,123,0.089,113,223700,102,
Crest CDP,16000US0617106,California,San Diego,16913613,2765,423.4,93386,987,64,217,113,135,208,143,107,2765,2044,20,8,9,0,9,63,612,2765,103,190,238,113,191,208,235,128,166,195,140,193,117,174,207,167,40.6,1956,0.083,0.201,0.463,0.172,0,0.081,788,0.051,1387,0.036,1055,461400,987,
