name,geoid,state_name,county_name,land_area (sqmtrs),population,population_density_sq_mi,median_household_income,hhs_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,DUMMYBachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Los Berros CDP,16000US0644042,California,San Luis Obispo,6507454,528,210.1,-1,156,0,33,54,12,12,45,0,528,283,2,0,0,0,0,0,243,528,0,84,0,0,45,19,30,27,58,0,103,0,0,99,29,34,41.4,283,0.445,0.205,0.191,0.159,0,0,156,0,213,0,197,716700,156,
Los Gatos town,16000US0644112,California,Santa Clara,29502176,30729,2697.7,155863,12083,921,1055,934,1066,1866,1366,4875,30729,22231,284,10,4510,32,0,1238,2424,30729,1375,2085,1019,1439,2431,2685,1852,2826,1399,2430,1132,1490,2142,2712,1824,1888,47.2,22572,0.03,0.086,0.186,0.378,1,0.32,8347,0.017,15137,0.045,13063,1694000,12083,
Los Molinos CDP,16000US0644140,California,Tehama,5637052,1746,802.2,41000,724,287,123,134,90,30,28,32,1746,1359,0,6,15,0,0,34,332,1746,120,185,85,42,110,94,73,186,219,47,61,123,104,58,73,166,38.6,1131,0.147,0.332,0.315,0.106,0,0.101,481,0.183,556,0.054,910,154700,724,
Los Olivos CDP,16000US0644168,California,Santa Barbara,6368298,791,321.7,103594,367,52,54,40,25,69,56,71,791,596,0,0,0,53,0,20,122,791,31,25,32,22,50,93,74,105,35,57,26,26,75,45,33,62,50.3,643,0.07,0.185,0.275,0.241,0,0.229,226,0.027,431,0.021,444,882600,367,
Los Osos CDP,16000US0644182,California,San Luis Obispo,33057046,16533,1295.3,77807,6392,895,1067,1059,1149,1097,561,564,16533,12535,31,117,710,0,14,467,2659,16533,652,793,719,1108,844,982,1522,1493,1050,851,825,932,1001,1048,1472,1241,46.9,12283,0.083,0.141,0.346,0.265,1,0.164,4600,0.08,7815,0.043,6760,551500,6392,
Los Ranchos CDP,16000US0644242,California,San Luis Obispo,7327976,1639,579.3,180875,631,40,32,42,80,104,71,262,1639,1240,0,0,47,0,0,57,295,1639,38,208,84,28,127,182,192,169,72,11,0,33,88,118,177,112,54.9,1245,0.008,0.082,0.191,0.447,1,0.271,516,0,760,0.054,664,992100,631,
Lost Hills CDP,16000US0644280,California,Kern,14378330,1726,310.9,34875,478,140,195,63,51,22,7,0,1726,59,0,0,0,0,0,0,1667,1726,133,195,182,118,93,62,20,7,162,174,199,138,121,64,42,16,24,846,0.585,0.273,0.129,0.013,0,0,327,0.229,777,0.044,522,126600,478,
Lower Lake CDP,16000US0644350,California,Lake,6906625,1355,508.1,32500,526,190,183,23,60,70,0,0,1355,867,0,12,0,0,0,1,475,1355,53,186,10,107,63,45,196,145,121,4,26,49,5,83,132,130,54.1,968,0.051,0.441,0.449,0.058,0,0.001,343,0.245,438,0.1,753,94500,526,
Loyalton city,16000US0644364,California,Sierra,920711,1093,3074.6,60852,361,68,82,66,74,34,26,11,1093,887,1,5,0,0,0,3,197,1093,37,83,29,98,18,63,37,155,104,78,52,138,34,31,61,75,36.4,755,0.072,0.425,0.454,0.032,0,0.017,278,0.108,449,0.027,432,139100,361,
Loyola CDP,16000US0644378,California,Santa Clara,3692449,3367,2361.7,246563,1115,36,67,31,51,127,130,673,3367,1989,5,8,1030,0,0,202,133,3367,229,282,101,103,303,277,235,220,168,314,58,85,270,283,268,171,46.8,2289,0.009,0.027,0.07,0.377,1,0.518,972,0.005,1447,0.033,1192,2000001,1115,
Lucas Valley-Marinwood CDP,16000US0644399,California,Marin,14843595,6686,1166.6,137931,2412,216,188,212,245,421,419,711,6686,4921,7,0,400,0,0,472,886,6686,343,533,307,302,394,499,559,702,389,481,87,267,510,461,480,372,47.8,4740,0.056,0.085,0.254,0.354,1,0.251,1762,0.032,3235,0.036,2412,976900,2412,
Lucerne CDP,16000US0644406,California,Lake,12892056,2896,581.8,44972,1187,295,337,190,204,101,15,45,2896,1979,108,70,0,0,0,243,496,2896,178,80,213,146,94,243,170,226,120,176,292,339,37,141,271,170,37.7,2070,0.196,0.25,0.357,0.094,0,0.102,645,0.064,1214,0.04,1755,207400,1187,
Lucerne Valley CDP,16000US0644420,California,San Bernardino,273473735,5956,56.4,32789,2148,809,618,279,226,180,7,29,5956,3938,136,91,131,9,0,108,1543,5956,417,283,363,422,211,360,463,352,513,286,347,320,230,370,619,400,40.5,4173,0.17,0.386,0.348,0.057,0,0.04,1438,0.286,2030,0.175,2855,161900,2148,
Lynwood city,16000US0644574,California,Los Angeles,12535664,70635,14593.9,52213,15405,2961,4398,2898,2202,1837,703,406,70635,1681,5687,227,479,95,73,178,62215,70635,5252,5299,7022,5786,4576,3698,2630,1932,5674,5965,6092,4910,4290,3688,2546,1275,30,41964,0.433,0.287,0.203,0.06,0,0.016,13497,0.164,31919,0.084,15698,399100,15405,
Lytle Creek CDP,16000US0644644,California,San Bernardino,15586138,673,111.8,40163,361,94,135,63,34,18,5,12,673,501,0,5,9,0,0,0,158,673,0,0,0,41,30,80,97,62,0,64,52,5,0,130,102,10,54.9,579,0.105,0.463,0.231,0.104,0,0.097,172,0.151,322,0,492,305200,361,
Mabie CDP,16000US0644672,California,Plumas,9430660,25,6.9,-1,14,0,14,0,0,0,0,0,25,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,14,-1,25,0,0.44,0.56,0,0,0,14,0,0,0,14,-1,14,
Macdoel CDP,16000US0644812,California,Siskiyou,383678,54,364.5,-1,16,0,16,0,0,0,0,0,54,0,0,0,0,0,0,0,54,54,0,0,0,0,0,13,0,0,0,25,0,0,16,0,0,0,49.1,29,0.552,0,0,0.448,1,0,16,0,29,0.448,16,-1,16,
Mad River CDP,16000US0645092,California,Trinity,91725762,458,12.9,25400,212,102,46,33,7,17,7,0,458,406,0,19,0,0,4,7,22,458,61,7,9,17,8,71,11,39,28,26,13,51,0,37,43,37,54,336,0.107,0.345,0.396,0.137,0,0.015,101,0.267,103,0.087,380,233300,212,
Madera Acres CDP,16000US0645050,California,Madera,18857842,9857,1353.8,88482,2485,150,370,427,443,653,282,160,9857,2205,204,0,103,0,0,147,7198,9857,775,873,798,533,651,619,541,352,419,711,665,468,915,515,602,420,36.2,6232,0.266,0.287,0.309,0.122,0,0.016,2242,0.074,4888,0.079,2660,234500,2485,
Madera city,16000US0645022,California,Madera,42294383,64833,3970.2,45163,18122,4407,5428,2989,1990,2408,566,334,64833,9497,2470,198,977,71,0,818,50802,64833,6754,5464,4343,5007,4444,3044,2103,2349,6130,5811,5039,4343,3628,2693,1873,1808,28.6,35753,0.419,0.216,0.27,0.069,0,0.026,14417,0.231,28063,0.092,19210,224100,18122,
Madison CDP,16000US0645064,California,Yolo,4004365,581,375.8,41050,193,62,76,6,39,0,10,0,581,2,1,0,1,0,0,0,577,581,0,78,8,79,39,39,26,33,27,84,23,34,8,46,57,0,35.3,383,0.551,0.345,0.099,0.005,0,0,160,0.181,281,0.036,193,169400,193,
Magalia CDP,16000US0645120,California,Butte,36294793,11476,818.9,50415,4633,1086,1198,946,828,398,60,117,11476,9698,5,63,98,0,0,745,867,11476,701,544,962,312,626,1004,1020,967,409,392,709,484,608,798,1180,760,49.9,8555,0.078,0.286,0.45,0.136,0,0.051,2946,0.053,4623,0.072,5345,172900,4633,
Malaga CDP,16000US0645232,California,Fresno,709462,1186,4329.7,42232,289,61,114,41,41,19,13,0,1186,87,11,0,0,0,0,0,1088,1186,165,53,176,77,77,55,45,41,100,90,74,95,51,46,24,17,25.5,608,0.617,0.11,0.211,0.03,0,0.033,246,0.244,524,0.084,341,188400,289,
Malibu city,16000US0645246,California,Los Angeles,51402842,12620,635.9,150747,5681,644,351,543,509,769,708,2157,12620,10518,133,0,258,27,0,549,1135,12620,257,689,504,393,900,1411,1049,1146,400,839,453,480,741,1147,1274,937,53,9853,0.022,0.08,0.238,0.379,1,0.281,3495,0.023,6487,0.035,7778,2000001,5681,
Mammoth Lakes town,16000US0645358,California,Mono,64402454,8169,328.5,59620,2514,199,641,677,539,108,185,165,8169,4481,24,22,300,0,96,183,3063,8169,372,642,502,897,489,590,163,59,471,564,992,979,415,581,348,105,31.6,5117,0.142,0.198,0.395,0.213,0,0.052,1088,0.03,5506,0.003,9795,337700,2514,
Manchester CDP,16000US0645386,California,Mendocino,6780881,218,83.3,48750,86,14,29,20,12,0,11,0,218,144,0,0,0,0,0,3,71,218,6,18,0,20,4,16,23,17,23,22,0,11,20,0,27,11,43.2,149,0.188,0.309,0.295,0.174,0,0.034,51,0,141,0.092,118,340900,86,
Manhattan Beach city,16000US0645400,California,Los Angeles,10197389,35500,9016.5,153023,13427,709,1160,1251,1266,2094,1541,5406,35500,26018,155,64,4763,34,47,1581,2838,35500,2348,2534,1064,2156,2980,2806,2171,2286,2364,2725,902,1719,2607,2973,1779,2086,44,24702,0.02,0.062,0.167,0.405,1,0.347,9581,0.02,16999,0.051,15020,2000001,13427,
Manila CDP,16000US0645414,California,Humboldt,1805139,793,1137.8,42500,346,42,154,28,72,33,7,10,793,655,9,17,24,0,0,49,39,793,5,11,73,73,60,61,51,20,42,44,79,45,62,45,106,16,42,590,0.049,0.249,0.351,0.188,0,0.163,211,0.085,465,0.075,405,276100,346,
Manteca city,16000US0645484,California,San Joaquin,55396445,79129,3699.6,72867,25200,3686,4720,4589,3611,4819,2268,1507,79129,31600,3578,374,7330,867,114,3812,31454,79129,5672,5421,5197,4953,5583,5604,3785,4251,6013,5460,5512,5176,5404,4733,3419,2946,36.2,51324,0.151,0.326,0.357,0.118,0,0.049,19165,0.086,36340,0.082,26152,386400,25200,
Manton CDP,16000US0645512,California,Tehama,45833424,350,19.8,39250,126,47,24,21,25,9,0,0,350,246,0,8,1,0,0,69,26,350,34,19,9,48,0,21,21,15,19,42,25,24,2,16,11,44,35.8,211,0.09,0.265,0.512,0.081,0,0.052,102,0.559,124,0.089,168,538500,126,
March ARB CDP,16000US0645680,California,Riverside,30886589,989,82.9,70729,476,114,49,92,105,99,0,17,989,547,55,0,52,0,0,20,315,989,91,60,30,46,59,8,8,241,66,60,10,91,10,16,52,141,46.4,689,0.099,0.181,0.351,0.2,0,0.168,166,0.114,205,0.039,689,300000,476,
Maricopa city,16000US0645736,California,Kern,3889607,1229,818.4,35893,403,127,160,54,48,3,4,7,1229,561,0,23,9,0,0,36,600,1229,127,103,73,57,44,84,64,70,115,63,68,109,68,74,86,24,33.2,758,0.356,0.383,0.227,0.034,0,0,260,0.165,413,0.136,462,77100,403,
Marin City CDP,16000US0645820,California,Marin,1390169,3126,5824,45841,1377,344,420,141,83,50,147,192,3126,1028,679,0,215,0,0,430,774,3126,379,176,147,315,245,244,140,140,103,305,129,166,164,244,156,73,36,2134,0.095,0.223,0.289,0.257,1,0.136,698,0.163,1493,0.035,1417,733700,1377,
Marina city,16000US0645778,California,Monterey,23021844,21981,2472.9,64258,7771,1414,1440,1581,1028,1369,545,394,21981,7870,1411,35,3604,341,25,1911,6784,21981,1540,1494,1899,1496,1216,1458,1042,1493,1512,1429,1696,1414,1207,1039,1155,891,33.9,13831,0.145,0.207,0.36,0.187,0,0.101,4834,0.072,11410,0.051,8113,513000,7771,
Marina del Rey CDP,16000US0645806,California,Los Angeles,2221335,9852,11487,118162,5537,640,427,800,381,1311,810,1168,9852,6560,730,0,1038,56,99,301,1068,9852,357,105,811,1153,418,732,305,520,262,248,1201,1392,667,879,683,119,38,8133,0.011,0.099,0.182,0.489,1,0.218,1766,0.157,7122,0.028,6158,791700,5537,
Mariposa CDP,16000US0645932,California,Mariposa,7865454,1186,390.5,27454,699,270,150,208,20,5,46,0,1186,946,16,29,0,0,0,49,146,1186,15,25,23,69,79,123,73,235,44,52,32,82,103,47,39,145,55.5,1013,0.09,0.19,0.535,0.127,0,0.058,347,0.179,489,0.092,803,276200,699,
Markleeville CDP,16000US0645988,California,Alpine,16914713,132,20.2,89688,72,8,10,11,17,20,0,6,132,132,0,0,0,0,0,0,0,132,0,0,0,2,0,9,32,27,0,0,0,0,2,0,31,29,66.8,132,0,0.129,0.273,0.303,1,0.295,53,0,22,0,287,340000,72,
Martell CDP,16000US0646100,California,Amador,6205157,400,167,78681,99,0,34,7,44,14,0,0,400,378,0,0,0,0,0,7,15,400,20,110,13,49,26,14,0,18,58,4,0,18,22,35,13,0,29.6,208,0.091,0.135,0.649,0.125,0,0,73,0,143,0,99,192400,99,
Martinez city,16000US0646114,California,Contra Costa,32714287,38290,3031.4,107328,14723,1354,1521,1670,2230,3529,1806,2613,38290,25375,1268,66,3241,0,108,1826,6406,38290,1740,2097,2271,2298,2617,3426,2969,2194,2255,2334,2362,2215,2781,2684,2557,1490,42.6,27468,0.042,0.187,0.355,0.272,1,0.143,9617,0.026,21744,0.039,15426,596400,14723,
Marysville city,16000US0646170,California,Yuba,8971193,12327,3558.8,44839,4756,1220,1319,1028,478,513,156,42,12327,7654,256,45,188,0,22,514,3648,12327,813,710,1226,952,455,822,735,555,859,802,1062,1103,554,807,497,375,31.8,8142,0.162,0.243,0.457,0.097,0,0.039,2719,0.162,5642,0.071,5324,207200,4756,
Matheny CDP,16000US0646223,California,Tulare,1109576,1137,2654,38482,293,101,81,76,19,12,4,0,1137,113,51,9,0,0,0,0,964,1137,99,53,137,63,27,37,30,35,212,80,87,96,56,51,49,25,25.2,577,0.492,0.196,0.274,0.038,0,0,239,0.272,419,0.069,325,114700,293,
Mather CDP,16000US0646226,California,Sacramento,25964715,4272,426.1,87976,1388,122,179,188,298,342,151,108,4272,2316,335,111,574,0,0,347,589,4272,304,226,322,340,314,230,226,207,358,240,264,422,301,227,197,94,35,2878,0.063,0.172,0.382,0.272,1,0.112,1018,0.051,2280,0.058,1424,360000,1388,
Maxwell CDP,16000US0646338,California,Colusa,5569332,1076,500.4,64239,356,51,56,89,83,33,32,12,1076,432,0,12,0,0,0,37,595,1076,87,58,45,66,45,66,71,25,112,68,56,141,93,70,26,47,35.4,713,0.314,0.328,0.278,0.063,0,0.017,308,0.071,487,0.043,434,210300,356,
Mayfair CDP,16000US0646400,California,Fresno,1342684,4950,9548.4,42171,1483,473,311,196,226,163,44,70,4950,1045,406,9,203,0,0,179,3108,4950,496,272,405,323,331,294,213,163,437,389,431,354,332,287,156,67,31.3,3043,0.235,0.236,0.435,0.081,0,0.013,1146,0.273,2148,0.088,1648,157400,1483,
Mayflower Village CDP,16000US0646436,California,Los Angeles,1780826,5873,8541.5,95203,1836,229,251,305,217,298,296,240,5873,1481,31,21,2136,64,35,158,1947,5873,389,314,333,330,527,392,411,439,262,273,353,320,500,402,390,238,44.3,4259,0.111,0.212,0.298,0.268,1,0.111,1431,0.058,3108,0.043,1939,609400,1836,
Maywood city,16000US0646492,California,Los Angeles,3052102,27332,23193.7,44241,6695,1658,1960,1321,728,673,239,116,27332,284,72,8,67,0,13,5,26883,27332,2220,2128,2637,1714,1855,1417,983,847,2141,2136,2360,1882,1905,1598,819,690,30.1,16481,0.505,0.294,0.144,0.047,0,0.01,5645,0.215,13526,0.078,6836,387000,6695,
McArthur CDP,16000US0644700,California,Shasta,2593485,446,445.4,41875,163,27,70,66,0,0,0,0,446,224,0,0,0,0,0,10,212,446,39,0,32,14,64,27,0,51,81,19,0,38,26,33,0,22,40.5,275,0.327,0.578,0.095,0,0,0,122,0.311,170,0,212,172200,163,
McClellan Park CDP,16000US0644760,California,Sacramento,10566205,1046,256.4,21591,328,179,55,56,16,22,0,0,1046,427,305,0,67,0,0,76,171,1046,56,97,12,83,96,75,46,69,110,146,89,9,87,37,4,30,30.9,614,0.145,0.246,0.41,0.137,0,0.062,201,0.602,269,0.1,328,-1,328,
McClenney Tract CDP,16000US0644770,California,Tulare,1595077,47,76.3,-1,26,13,13,0,0,0,0,0,47,47,0,0,0,0,0,0,0,47,0,0,13,0,0,0,8,0,0,0,13,0,0,0,11,2,25.8,34,0,0.441,0.324,0.235,0,0,8,1,31,0.581,45,-1,26,
McCloud CDP,16000US0644784,California,Siskiyou,6273613,1020,421.1,34405,494,146,154,83,74,37,0,0,1020,923,1,15,0,0,0,27,54,1020,61,50,17,26,65,71,107,112,28,80,22,50,62,83,88,98,52.9,791,0.083,0.292,0.464,0.139,0,0.021,264,0.057,367,0.155,740,187200,494,
McFarland city,16000US0644826,California,Kern,6910212,14823,5555.7,35346,3269,957,1332,357,307,181,135,0,14823,500,153,9,20,0,0,101,14040,14823,1073,1475,1153,986,758,508,393,187,1627,1279,1651,1533,929,743,368,160,26.2,7681,0.481,0.313,0.172,0.02,0,0.014,2869,0.294,5754,0.134,3367,171000,3269,
McGee Creek CDP,16000US0644830,California,Mono,10391043,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,
McKinleyville CDP,16000US0644910,California,Humboldt,54083206,17208,824.1,54614,6618,1379,1653,1235,816,947,229,359,17208,13304,59,852,462,0,69,1002,1460,17208,1248,850,1425,1194,659,867,1121,931,1225,975,1597,1201,1359,724,1115,717,35,10973,0.068,0.196,0.395,0.225,0,0.116,3857,0.075,8332,0.068,6973,296700,6618,
McKittrick CDP,16000US0644924,California,Kern,6778294,116,44.3,38750,42,13,15,4,9,0,1,0,116,91,1,3,0,0,0,0,21,116,7,1,8,6,0,15,16,6,8,4,5,14,1,13,2,10,53.5,94,0.245,0.223,0.511,0.021,0,0,39,0.333,37,0,50,-1,42,
McSwain CDP,16000US0645006,California,Merced,15638693,4399,728.5,101283,1539,76,244,187,243,330,140,319,4399,2509,157,64,515,0,0,85,1069,4399,95,430,243,140,355,294,306,316,326,353,177,130,356,350,262,266,43.6,3071,0.108,0.228,0.303,0.259,1,0.103,1300,0.022,2155,0.043,1590,458100,1539,
Mead Valley CDP,16000US0646646,California,Riverside,49427160,20145,1055.6,59079,4400,708,1267,700,826,523,241,135,20145,2480,1850,35,465,0,17,356,14942,20145,1664,1643,1297,1417,1213,847,985,934,1737,1617,1225,1455,1504,1114,930,563,33.2,11964,0.362,0.35,0.236,0.038,0,0.014,3862,0.194,8098,0.091,4816,268900,4400,
Meadow Valley CDP,16000US0646618,California,Plumas,22066143,420,49.3,70625,228,45,29,74,0,72,0,8,420,406,0,0,0,0,0,0,14,420,44,0,0,8,32,35,62,48,0,0,0,7,34,52,63,35,59.9,376,0.016,0.114,0.582,0.144,0,0.144,112,0,181,0.138,316,239700,228,
Meadow Vista CDP,16000US0646632,California,Placer,13678207,3679,696.6,92411,1389,152,190,239,159,306,155,188,3679,3215,0,48,79,0,0,77,260,3679,174,358,122,166,248,342,332,205,186,178,63,157,208,375,273,292,49.3,2721,0.065,0.18,0.399,0.222,0,0.133,1029,0.052,1702,0.038,1460,503400,1389,
Meadowbrook CDP,16000US0646520,California,Riverside,17399231,3414,508.2,51512,901,214,199,222,110,113,29,14,3414,1360,73,0,95,0,0,6,1880,3414,262,193,236,165,273,199,185,265,69,334,270,195,151,182,262,173,39.7,2315,0.234,0.371,0.321,0.062,0,0.011,710,0.082,1412,0.097,1045,214300,901,
Mecca CDP,16000US0646660,California,Riverside,18023370,6635,953.5,23600,1860,972,495,245,64,84,0,0,6635,10,0,0,0,0,0,0,6625,6635,589,487,453,363,476,317,262,171,693,692,393,550,465,302,319,103,30.2,3654,0.757,0.194,0.041,0.008,0,0,1355,0.374,2762,0.118,2159,158500,1860,
Meiners Oaks CDP,16000US0646702,California,Ventura,3647339,3569,2534.4,84257,1190,95,149,242,275,180,169,80,3569,2273,18,0,62,0,0,204,1012,3569,148,170,266,253,252,289,234,141,149,161,167,471,219,251,245,153,40,2686,0.136,0.194,0.305,0.246,0,0.118,813,0.02,2178,0.019,1304,633800,1190,
Mendocino CDP,16000US0646814,California,Mendocino,5846595,855,378.8,63750,451,55,96,144,16,123,17,0,855,653,0,0,144,0,0,0,58,855,0,11,47,0,95,46,126,44,0,43,56,0,74,88,151,74,55.3,715,0.057,0.083,0.248,0.322,1,0.291,205,0,590,0.017,627,474600,451,
Mendota city,16000US0646828,California,Fresno,8768294,11531,3406,31237,2838,1037,1039,434,189,103,9,27,11531,340,0,0,0,0,0,20,11171,11531,1180,995,904,915,508,637,294,322,1171,1162,751,867,682,611,398,134,27.1,6141,0.692,0.181,0.112,0.015,0,0,2380,0.353,5105,0.192,2965,158700,2838,
Menifee city,16000US0646842,California,Riverside,120362318,90349,1944.2,70224,29080,4721,5665,4967,4023,5536,2585,1583,90349,42808,5139,428,4825,593,132,2847,33577,90349,6056,5664,5626,5446,5304,5749,5327,6853,6493,6542,6022,5577,5083,5030,4386,5191,37.7,60605,0.125,0.275,0.403,0.125,0,0.072,21286,0.069,39269,0.073,31128,334600,29080,
Menlo Park city,16000US0646870,California,San Mateo,25930483,34138,3409.8,160784,11906,1277,967,1247,832,1347,1422,4814,34138,19865,1464,160,5054,699,163,1451,5282,34138,2510,1914,1859,2433,2596,2145,1895,1830,2512,2076,2248,2431,2315,2068,1865,1441,37.9,23168,0.06,0.093,0.151,0.289,1,0.408,7889,0.038,17519,0.036,13020,2000001,11906,
Mentone CDP,16000US0646884,California,San Bernardino,15826628,9793,1602.6,68650,3341,368,646,778,571,577,288,113,9793,4243,351,0,755,0,84,462,3898,9793,577,592,749,863,549,688,441,375,573,775,594,949,462,736,500,370,36.6,6641,0.114,0.258,0.397,0.143,0,0.088,2372,0.038,5201,0.067,3451,310300,3341,
Merced city,16000US0646898,California,Merced,60156186,82662,3559,45232,25490,7274,6391,4278,2689,2927,1000,931,82662,21303,4023,129,9241,58,151,2122,45635,82662,6437,6740,7202,5895,4368,4607,3286,3330,7215,6851,7587,5672,4522,3725,3150,2075,29.4,46964,0.271,0.236,0.328,0.097,0,0.068,17672,0.235,34657,0.127,26873,237500,25490,
Meridian CDP,16000US0646926,California,Sutter,13713975,371,70.1,51250,153,38,37,19,28,16,5,10,371,267,11,2,3,0,0,18,70,371,18,14,11,17,13,49,26,20,23,22,30,18,25,35,38,12,49.1,267,0.232,0.315,0.3,0.12,0,0.034,105,0.019,159,0.075,179,226900,153,
Mesa CDP,16000US0647013,California,Inyo,9072237,348,99.3,79750,146,30,23,8,25,33,13,14,348,250,0,29,0,0,0,5,64,348,16,15,4,53,24,10,21,13,17,20,18,23,29,35,23,27,45.1,262,0.046,0.267,0.344,0.298,1,0.046,100,0.08,173,0.046,146,414000,146,
Mesa Verde CDP,16000US0647066,California,Riverside,11139876,913,212.3,42500,228,65,57,48,49,0,4,5,913,137,0,0,0,0,0,10,766,913,103,53,77,76,53,46,61,59,67,51,3,76,73,62,0,53,36.3,600,0.315,0.37,0.273,0.008,0,0.033,194,0.268,394,0.409,314,70600,228,
Mesa Vista CDP,16000US0647086,California,Alpine,12627546,228,46.8,110083,81,0,22,16,0,29,11,3,228,128,0,97,0,0,0,3,0,228,11,14,0,17,7,10,29,17,0,0,0,25,0,17,25,56,64.1,203,0.084,0.433,0.172,0.217,0,0.094,59,0,80,0.088,115,393500,81,
Mettler CDP,16000US0647164,California,Kern,602290,157,675.1,58438,49,12,11,8,14,0,4,0,157,10,0,0,0,0,0,0,147,157,10,0,22,0,16,17,8,15,5,9,16,17,6,4,8,4,40,111,0.36,0.288,0.315,0,0,0.036,37,0.054,92,0.141,49,134700,49,
Mexican Colony CDP,16000US0647192,California,Kern,82312,423,13309.9,30982,115,20,76,0,15,4,0,0,423,0,0,0,0,0,0,0,423,423,52,29,52,18,35,6,21,0,55,25,0,63,4,33,14,16,27.9,245,0.367,0.571,0.045,0.016,0,0,93,0.441,193,0.067,130,65000,115,
Mi-Wuk Village CDP,16000US0648298,California,Tuolumne,7195653,880,316.7,115993,382,63,0,43,19,175,82,0,880,852,0,0,0,0,0,0,28,880,32,0,59,0,63,95,147,41,0,0,50,22,0,96,213,62,62,848,0.046,0.176,0.778,0,0,0,261,0,403,0.047,1115,297100,382,
Middletown CDP,16000US0647332,California,Lake,4776232,739,400.7,-1,271,68,40,13,0,19,58,73,739,394,0,0,0,0,0,11,334,739,13,76,22,58,103,32,20,46,0,152,0,11,21,56,69,60,43.5,498,0.396,0.249,0.329,0.026,0,0,182,0.082,321,0.09,505,2000001,271,
Midpines CDP,16000US0647374,California,Mariposa,63522945,1427,58.2,51750,658,221,87,125,105,91,29,0,1427,1149,133,34,12,0,0,39,60,1427,24,126,138,68,184,132,32,102,93,76,31,96,89,106,61,69,41.9,1038,0.046,0.228,0.382,0.176,0,0.168,435,0.211,594,0.136,878,301600,658,
Midway City CDP,16000US0647430,California,Orange,1575506,8343,13715.1,40059,2432,944,417,458,165,132,215,101,8343,1036,24,0,4429,72,0,148,2634,8343,604,722,336,572,537,762,324,496,547,673,465,315,560,707,287,436,38.8,5483,0.311,0.282,0.22,0.141,0,0.046,1717,0.26,3253,0.104,2553,573400,2432,
Milford CDP,16000US0647472,California,Lassen,13705685,206,38.9,-1,70,0,0,0,39,0,0,31,206,206,0,0,0,0,0,0,0,206,0,0,0,28,0,0,0,34,39,0,35,0,39,0,0,31,40,132,0,0.235,0.553,0.212,0,0,70,0,136,0,98,-1,70,
Mill Valley city,16000US0647710,California,Marin,12336101,14330,3008.6,163614,6107,515,415,343,616,933,667,2618,14330,12353,106,0,712,0,0,550,609,14330,778,864,302,671,1573,1136,982,1432,768,847,311,527,1057,1166,919,997,48.7,10762,0.014,0.054,0.167,0.403,1,0.362,4024,0.032,6926,0.023,6628,1598700,6107,
Millbrae city,16000US0647486,California,San Mateo,8420623,22625,6958.9,128494,7976,877,725,689,902,1333,1056,2394,22625,7659,139,21,11043,8,217,968,2570,22625,1118,1207,1000,1390,1668,1742,1534,1855,1312,1102,1550,1298,1598,1822,1136,1293,43.9,16919,0.07,0.162,0.245,0.329,1,0.194,5845,0.051,12184,0.035,8377,1403100,7976,
Millville CDP,16000US0647724,California,Shasta,20839136,678,84.3,67222,280,76,43,32,30,51,24,24,678,626,0,4,0,0,0,0,48,678,25,79,25,17,34,80,68,52,30,41,23,13,27,39,77,48,53.4,479,0.033,0.175,0.438,0.207,0,0.146,191,0.157,252,0.016,299,410000,280,
Milpitas city,16000US0647766,California,Santa Clara,35361181,79517,5824.1,132320,23595,2053,2082,2186,2395,4604,3604,6671,79517,8834,2652,181,53006,257,29,3250,11308,79517,4932,3751,5043,6640,5016,4974,3948,3738,5697,4200,6202,8103,5689,5024,3691,2869,36.3,56605,0.112,0.159,0.221,0.306,1,0.201,19074,0.043,42266,0.037,24638,858600,23595,
Mineral CDP,16000US0647794,California,Tehama,114744267,359,8.1,48859,137,35,44,36,0,22,0,0,359,313,0,0,0,0,0,46,0,359,23,11,0,0,57,11,10,11,0,115,0,23,56,0,23,19,40.1,210,0.205,0.11,0.462,0.224,0,0,55,0,116,0.198,559,171700,137,
